"","PLT","LAT","YEAR","LON","treeNumber","plotArea","totalBiomass","biomassDensity","sumBasalArea","averageBasalArea","treeNumberArea"
"1","PLT_00000001",-0.079111,2004,12.334306,351,1,568044.763133281,568044.763133281,404597.538880352,404597.538880352,351
"2","PLT_00000001",-0.079111,2001,12.334306,343,1,550651.720280893,550651.720280893,396676.917737244,396676.917737244,343
"3","PLT_00000002",-0.1078,2012,10.826017,47,0.05,19777.7415256359,395554.830512717,16692.6169454003,333852.338908007,940
"4","PLT_00000003",-0.1078,2012,10.826018,22,0.05,57989.7724167194,1159795.44833439,35966.0993796145,719321.98759229,440
"5","PLT_00000004",-0.108083,2012,10.8282,33,0.05,15124.9153707677,302498.307415354,11825.3317392304,236506.634784608,660
"6","PLT_00000005",-0.108217,2012,10.827617,31,0.05,21070.7831090499,421415.662180997,15575.0660447205,311501.32089441,620
"7","PLT_00000006",-0.146889,2001,12.271278,113,1,120069.330595466,120069.330595466,101263.331539699,101263.331539699,113
"8","PLT_00000006",-0.146889,2002,12.271278,165,1,186984.341388426,186984.341388426,159206.704678777,159206.704678777,165
"9","PLT_00000007",-0.17,2009,11.58,50,1,30105.8060759141,30105.8060759141,35809.6480654657,35809.6480654657,50
"10","PLT_00000008",-0.18,2016,11.57,553,1,359430.178259116,359430.178259116,300186.874952506,300186.874952506,553
"11","PLT_00000009",-0.190306,2001,12.203389,256,1,247864.910520079,247864.910520079,214664.570080644,214664.570080644,256
"12","PLT_00000010",-0.19,2016,11.58,528,1,290318.802966264,290318.802966264,290923.755495709,290923.755495709,528
"13","PLT_00000011",-0.19,2016,11.58,395,1,352781.538252301,352781.538252301,333782.862586473,333782.862586473,395
"14","PLT_00000012",-0.19,2009,11.58,19,1,37535.4897139414,37535.4897139414,36174.0256893924,36174.0256893924,19
"15","PLT_00000013",-0.19,2009,11.59,44,1,65846.9198688481,65846.9198688481,65794.4220680208,65794.4220680208,44
"16","PLT_00000014",-0.19,2009,11.59,20,1,19931.1741986491,19931.1741986491,15864.5559537671,15864.5559537671,20
"17","PLT_00000015",-0.19,2009,11.61,16,1,5816.43486483894,5816.43486483894,4851.09029604068,4851.09029604068,16
"18","PLT_00000016",-0.19,2009,11.6,49,1,13287.6307277329,13287.6307277329,15254.1052312665,15254.1052312665,49
"19","PLT_00000017",-0.21,2016,11.59,34,1,597.515039619135,597.515039619135,1142.30665079015,1142.30665079015,34
"20","PLT_00000018",-0.21,2009,11.61,35,1,34328.4085047059,34328.4085047059,38255.6842515691,38255.6842515691,35
"21","PLT_00000019",-0.21,2009,11.62,712,1,1077589.72290801,1077589.72290801,822692.056912103,822692.056912103,712
"22","PLT_00000020",-0.21,2009,11.6,26,1,19330.3948368262,19330.3948368262,16133.9161078859,16133.9161078859,26
"23","PLT_00000021",-0.22,2009,11.59,24,1,47593.5622181828,47593.5622181828,33471.2899675642,33471.2899675642,24
"24","PLT_00000022",-0.22,2016,11.61,435,1,390387.071920536,390387.071920536,280607.024402714,280607.024402714,435
"25","PLT_00000023",-0.22,2009,11.61,41,1,36440.0477961781,36440.0477961781,38076.3857048471,38076.3857048471,41
"26","PLT_00000024",-0.22,2016,11.61,361,1,403453.484101028,403453.484101028,299036.604364339,299036.604364339,361
"27","PLT_00000025",-0.22,2009,11.62,20,1,71642.1834332827,71642.1834332827,44029.6330975651,44029.6330975651,20
"28","PLT_00000026",-0.22,2009,11.6,41,1,37853.8339438099,37853.8339438099,37374.7031316862,37374.7031316862,41
"29","PLT_00000027",-0.25,2009,11.6,884,1,1019679.13013619,1019679.13013619,801474.847541167,801474.847541167,884
"30","PLT_00000028",-0.2,2016,11.58,456,1,336063.046769827,336063.046769827,360173.450389799,360173.450389799,456
"31","PLT_00000029",-0.2,2016,11.58,399,1,35765.7910299341,35765.7910299341,37434.4091000677,37434.4091000677,399
"32","PLT_00000030",-0.2,2016,11.58,459,1,34361.8308720884,34361.8308720884,34592.7992749875,34592.7992749875,459
"33","PLT_00000031",-0.2,2009,11.58,39,1,28040.5302600777,28040.5302600777,34580.7826830876,34580.7826830876,39
"34","PLT_00000032",-0.2,2016,11.59,485,1,116358.579225763,116358.579225763,123218.659559174,123218.659559174,485
"35","PLT_00000033",-0.2,2009,11.59,42,1,5004.84856498965,5004.84856498965,6580.73340138271,6580.73340138271,42
"36","PLT_00000034",-0.2,2016,11.59,111,1,2851.49395985259,2851.49395985259,4894.11440743159,4894.11440743159,111
"37","PLT_00000035",-0.2,2009,11.61,36,1,8772.16116334128,8772.16116334128,8212.59443538176,8212.59443538176,36
"38","PLT_00000036",-0.2,2009,11.61,49,1,8447.86987817554,8447.86987817554,8789.24947491143,8789.24947491143,49
"39","PLT_00000037",-0.2,2016,11.61,932,1,100482.679407753,100482.679407753,103580.485341768,103580.485341768,932
"40","PLT_00000038",-0.2,2009,11.62,39,1,38543.0776414934,38543.0776414934,38666.27470343,38666.27470343,39
"41","PLT_00000039",-0.2,2009,11.63,18,1,69637.972985617,69637.972985617,37834.1689112553,37834.1689112553,18
"42","PLT_00000040",-0.2,2009,11.63,32,1,24985.7250751603,24985.7250751603,16653.5198248264,16653.5198248264,32
"43","PLT_00000041",-0.416667,1989,-72.316667,163,0.1,9472.04349190193,94720.4349190193,14123.8151723763,141238.151723763,1630
"44","PLT_00000042",-0.416667,1989,-72.333333,222,0.1,53480.5031153453,534805.031153453,48471.6330522369,484716.330522369,2220
"45","PLT_00000043",-0.42,2009,11.4,69,1,143204.577636208,143204.577636208,98991.1132757163,98991.1132757163,69
"46","PLT_00000044",-0.466667,1987,-78.416667,119,0.1,11469.3069016568,114693.069016568,16736.0494638362,167360.494638362,1190
"47","PLT_00000045",-0.566667,1982,-79.333333,189,0.1,29596.2093594986,295962.093594986,26253.8971069682,262538.971069682,1890
"48","PLT_00000046",-0.566667,1980,-79.333333,169,0.1,56991.4272900402,569914.272900402,39619.0176535026,396190.176535026,1690
"49","PLT_00000047",-0.583333,1982,-79.333333,216,0.1,56670.8159825353,566708.159825353,45549.7555348576,455497.555348576,2160
"50","PLT_00000048",-0.585105454,2006,-59.90455434,152,0.25,84746.4302094564,338985.720837826,71144.408155436,284577.632621744,608
"51","PLT_00000049",-0.591958302,2006,-59.89861521,183,0.25,82182.9166716693,328731.666686677,71115.998995733,284463.995982932,732
"52","PLT_00000050",-0.596222296,2006,-59.88277752,179,0.25,81374.1652021868,325496.660808747,68754.2192166901,275016.87686676,716
"53","PLT_00000051",-0.600943147,2006,-59.8966355,136,0.25,92698.6716797134,370794.686718854,74232.0140487833,296928.056195133,544
"54","PLT_00000052",-0.605359426,2006,-59.88749837,146,0.25,87354.2978050019,349417.191220008,68373.6797486528,273494.718994611,584
"55","PLT_00000053",-0.641087509,2006,-59.93617632,126,0.25,93161.8047312406,372647.218924962,71339.6912684873,285358.765073949,504
"56","PLT_00000054",-0.646607859,2006,-59.90686136,170,0.25,111386.199853224,445544.799412895,87182.9292319315,348731.716927726,680
"57","PLT_00000055",-0.655364275,2006,-59.96320699,174,0.25,90566.8595831516,362267.438332606,75649.129661863,302596.518647452,696
