"","RawName","CorrectedGenus","CorrectedSpecies"
"1","Aapaca sppNosymang1","Aapaca",NA
"2","Abarema  sppTEAM2","Abarema",NA
"3","Abarema acreana","Abarema","acreana"
"4","Abarema adenophora","Abarema","adenophora"
"5","Abarema auriculata","Abarema","auriculata"
"6","Abarema barbouriana","Abarema","barbouriana"
"7","Abarema cochleata","Abarema","cochleata"
"8","Abarema commutata","Abarema","commutata"
"9","Abarema curvicarpa","Abarema","curvicarpa"
"10","Abarema filamentosa","Abarema","filamentosa"
"11","Abarema floribunda","Abarema","floribunda"
"12","Abarema idiopoda","Abarema","idiopoda"
"13","Abarema jupunba","Abarema","jupunba"
"14","Abarema laeta","Abarema","laeta"
"15","Abarema langsdorffii","Abarema","langsdorffii"
"16","Abarema macradenia","Abarema","macradenia"
"17","Abarema mataybifolia","Abarema","mataybifolia"
"18","Abarema microcalyx","Abarema","microcalyx"
"19","Abarema racemiflora","Abarema","racemiflora"
"20","Abarema sppFPnet1","Abarema",NA
"21","Abarema sppGF1","Abarema",NA
"22","Abarema sppRAINFOR1","Abarema",NA
"23","Abarema sppSCA1","Abarema",NA
"24","Abarema sppTEAM1","Abarema",NA
"25","Abarema sppTEAM2","Abarema",NA
"26","Abarema turbinata","Abarema","turbinata"
"27","Abatia sppAchupall1","Abatia",NA
"28","Aberemoa argentea","Aberemoa","argentea"
"29","Abies alba","Abies","alba"
"30","Abies amabilis","Abies","amabilis"
"31","Abies balsamea","Abies","balsamea"
"32","Abies cephalonica","Abies","cephalonica"
"33","Abies concolor","Abies","concolor"
"34","Abies durangensis","Abies","durangensis"
"35","Abies fabri","Abies","fabri"
"36","Abies firma","Abies","firma"
"37","Abies fraseri","Abies","fraseri"
"38","Abies grandis","Abies","grandis"
"39","Abies holophylla","Abies","holophylla"
"40","Abies koreana","Abies","koreana"
"41","Abies lasiocarpa","Abies","lasiocarpa"
"42","Abies magnifica","Abies","magnifica"
"43","Abies nephrolepis","Abies","nephrolepis"
"44","Abies nordmanniana","Abies","nordmanniana"
"45","Abies pinsapo","Abies","pinsapo"
"46","Abies procera","Abies","procera"
"47","Abies religiosa","Abies","religiosa"
"48","Abies shastensis","Abies","shastensis"
"49","Abies sppDE1","Abies",NA
"50","Abies sppIN1","Abies",NA
"51","Abies sppIT1","Abies",NA
"52","Abies sppUS1","Abies",NA
"53","Abies veitchii","Abies","veitchii"
"54","Abies vejari","Abies","vejarii"
"55","Abrahamia ditimena","Abrahamia","ditimena"
"56","Abrahamia lenticellata","Abrahamia","lenticellata"
"57","Abrahamia thouvenotii","Abrahamia","thouvenotii"
"58","Abroma augusta","Abroma","augusta"
"59","Abuta grandifolia","Abuta","grandifolia"
"60","Abuta grisebachii","Abuta","grisebachii"
"61","Abuta pahnii","Abuta","pahnii"
"62","Abuta panamensis","Abuta","panamensis"
"63","Abuta panurensis","Abuta","panurensis"
"64","Abuta racemosa","Abuta","racemosa"
"65","Abuta rufescens","Abuta","rufescens"
"66","Abuta solimoesensis","Abuta","solimoesensis"
"67","Abuta sppAnchicay1","Abuta",NA
"68","Abuta sppAntado1","Abuta",NA
"69","Abuta sppAraracua1","Abuta",NA
"70","Abuta sppCamorin1","Abuta",NA
"71","Abuta sppConstanc1","Abuta",NA
"72","Abuta sppCuangos1","Abuta",NA
"73","Abuta sppCuzcoama1","Abuta",NA
"74","Abuta sppCuzcoama2","Abuta",NA
"75","Abuta sppLinhares1","Abuta",NA
"76","Abuta sppNangarit1","Abuta",NA
"77","Abuta sppPE1","Abuta",NA
"78","Abuta sppPipeline1","Abuta",NA
"79","Abuta sppRAINFOR1","Abuta",NA
"80","Abuta sppTamboall1","Abuta",NA
"81","Abuta sppTamboall2","Abuta",NA
"82","Acacia acanthophylla","Acacia","acanthophylla"
"83","Acacia albicorticata","Acacia","albicorticata"
"84","Acacia alemquerensis","Acacia","alemquerensis"
"85","Acacia altiscandens","Acacia","altiscandens"
"86","Acacia anegadensis","Acacia","anegadensis"
"87","Acacia aneura","Acacia","aneura"
"88","Acacia angustissima","Acacia","angustissima"
"89","Acacia arabica","Acacia","arabica"
"90","Acacia argyrodendron","Acacia","argyrodendron"
"91","Acacia articulata","Acacia","articulata"
"92","Acacia aulacocarpa","Acacia","aulacocarpa"
"93","Acacia auriculiformis","Acacia","auriculiformis"
"94","Acacia bonariensis","Acacia","bonariensis"
"95","Acacia borleae","Acacia","borleae"
"96","Acacia burkei","Acacia","burkei"
"97","Acacia caffra","Acacia","caffra"
"98","Acacia cambagei","Acacia","cambagei"
"99","Acacia caven","Acacia","caven"
"100","Acacia concurrens","Acacia","concurrens"
"101","Acacia confusa","Acacia","confusa"
"102","Acacia cornigera","Acacia","cornigera"
"103","Acacia crassicarpa","Acacia","crassicarpa"
"104","Acacia dealbata","Acacia","dealbata"
"105","Acacia disparrima","Acacia","disparrima"
"106","Acacia dolichostachya","Acacia","dolichostachya"
"107","Acacia doratoxylon","Acacia","doratoxylon"
"108","Acacia drakei","Acacia","drakei"
"109","Acacia excelsa","Acacia","excelsa"
"110","Acacia falcata","Acacia","falcata"
"111","Acacia farnesiana","Acacia","farnesiana"
"112","Acacia feddeana","Acacia","feddeana"
"113","Acacia fimbriata","Acacia","fimbriata"
"114","Acacia flavescens","Acacia","flavescens"
"115","Acacia flexuosa","Acacia","flexuosa"
"116","Acacia gentlei","Acacia","gentlei"
"117","Acacia georginae","Acacia","georginae"
"118","Acacia gerrardii","Acacia","gerrardii"
"119","Acacia glomerosa","Acacia","glomerosa"
"120","Acacia grandicornuta","Acacia","grandicornuta"
"121","Acacia guadalupensis","Acacia","guadalupensis"
"122","Acacia hindsii","Acacia","hindsii"
"123","Acacia huberi","Acacia","huberi"
"124","Acacia hybrid","Acacia",NA
"125","Acacia hylonoma","Acacia","hylonoma"
"126","Acacia implexa","Acacia","implexa"
"127","Acacia irrorata","Acacia","irrorata"
"128","Acacia kamerunensis","Acacia","kamerunensis"
"129","Acacia karroo","Acacia","karroo"
"130","Acacia klugii","Acacia","klugii"
"131","Acacia koa","Acacia","koa"
"132","Acacia koaia","Acacia","koaia"
"133","Acacia kuhlmannii","Acacia","kuhlmannii"
"134","Acacia leiocalyx","Acacia","leiocalyx"
"135","Acacia loretensis","Acacia","loretensis"
"136","Acacia macbridei","Acacia","macbridei"
"137","Acacia macracantha","Acacia","macracantha"
"138","Acacia macrantha","Acacia","macracantha"
"139","Acacia maidenii","Acacia","maidenii"
"140","Acacia mangium","Acacia","mangium"
"141","Acacia mearnsii","Acacia","mearnsii"
"142","Acacia melanoceras","Acacia","melanoceras"
"143","Acacia melanoxylon","Acacia","melanoxylon"
"144","Acacia muricata","Acacia","muricata"
"145","Acacia myriophylla","Acacia","myriophylla"
"146","Acacia nigrescens","Acacia","nigrescens"
"147","Acacia nilotica","Acacia","nilotica"
"148","Acacia oshanesii","Acacia","oshanesii"
"149","Acacia pendula","Acacia","pendula"
"150","Acacia pennata","Acacia","pennata"
"151","Acacia pennatula","Acacia","pennatula"
"152","Acacia penninervis","Acacia","penninervis"
"153","Acacia pentagona","Acacia","pentagona"
"154","Acacia platycarpa","Acacia","platycarpa"
"155","Acacia plectocarpa","Acacia","plectocarpa"
"156","Acacia podalyriifolia","Acacia","podalyriifolia"
"157","Acacia polyphylla","Acacia","polyphylla"
"158","Acacia praecox","Acacia","praecox"
"159","Acacia pteridifolia","Acacia","pteridifolia"
"160","Acacia rhodoxylon","Acacia","rhodoxylon"
"161","Acacia riparia","Acacia","riparia"
"162","Acacia rothii","Acacia","rothii"
"163","Acacia senegal","Acacia","senegal"
"164","Acacia seyal","Acacia","seyal"
"165","Acacia sparsiflora","Acacia","sparsiflora"
"166","Acacia sppAU1","Acacia",NA
"167","Acacia sppAllpahua1","Acacia",NA
"168","Acacia sppAnkarif1","Acacia",NA
"169","Acacia sppAraracua1","Acacia",NA
"170","Acacia sppCabezade1","Acacia",NA
"171","Acacia sppCalabate1","Acacia",NA
"172","Acacia sppCamorin1","Acacia",NA
"173","Acacia sppCarajas1","Acacia",NA
"174","Acacia sppChaquima1","Acacia",NA
"175","Acacia sppChaquima2","Acacia",NA
"176","Acacia sppChaquima3","Acacia",NA
"177","Acacia sppChaquima4","Acacia",NA
"178","Acacia sppCuzcoama1","Acacia",NA
"179","Acacia sppES1","Acacia",NA
"180","Acacia sppFPnet1","Acacia",NA
"181","Acacia sppGT1","Acacia",NA
"182","Acacia sppGaleraz1","Acacia",NA
"183","Acacia sppGaleraz2","Acacia",NA
"184","Acacia sppIT1","Acacia",NA
"185","Acacia sppJatunsac1","Acacia",NA
"186","Acacia sppMadidiri1","Acacia",NA
"187","Acacia sppMotozint1","Acacia",NA
"188","Acacia sppNuevomun1","Acacia",NA
"189","Acacia sppNuevomun2","Acacia",NA
"190","Acacia sppPE1","Acacia",NA
"191","Acacia sppPT1","Acacia",NA
"192","Acacia sppPande1","Acacia",NA
"193","Acacia sppRAINFOR1","Acacia",NA
"194","Acacia sppRioheath1","Acacia",NA
"195","Acacia sppRioheath2","Acacia",NA
"196","Acacia sppRionegro1","Acacia",NA
"197","Acacia sppRiotavar1","Acacia",NA
"198","Acacia sppTZ1","Acacia",NA
"199","Acacia sppTutunend1","Acacia",NA
"200","Acacia sppUS1","Acacia",NA
"201","Acacia sppVN1","Acacia",NA
"202","Acacia stenophylla","Acacia","stenophylla"
"203","Acacia tacanensis","Acacia",NA
"204","Acacia tamarindifolia","Acacia","tamarindifolia"
"205","Acacia tenuifolia","Acacia","tenuifolia"
"206","Acacia tenuissima","Acacia","tenuissima"
"207","Acacia tortilis","Acacia","tortilis"
"208","Acacia torulosa","Acacia","torulosa"
"209","Acacia turbacensis","Acacia",NA
"210","Acacia visco","Acacia","visco"
"211","Acalypha cuneata","Acalypha","cuneata"
"212","Acalypha diversifolia","Acalypha","diversifolia"
"213","Acalypha ferdinandii","Acalypha","ferdinandii"
"214","Acalypha glabrata","Acalypha","glabrata"
"215","Acalypha macrostachya","Acalypha","macrostachya"
"216","Acalypha mapirensis","Acalypha","mapirensis"
"217","Acalypha obovata","Acalypha","obovata"
"218","Acalypha repanda","Acalypha","repanda"
"219","Acalypha skutchii","Acalypha","skutchii"
"220","Acalypha sppCampano1","Acalypha",NA
"221","Acalypha sppCueva1","Acalypha",NA
"222","Acalypha sppFPnet1","Acalypha",NA
"223","Acalypha sppHachimal1","Acalypha",NA
"224","Acalypha sppLagenoa1","Acalypha",NA
"225","Acalypha sppLaplanad1","Acalypha",NA
"226","Acalypha sppNadugani1","Acalypha",NA
"227","Acalypha sppRAINFOR1","Acalypha",NA
