"","FID","PLT","LAT","LON","Year","SPCD","DBH","TPH","WWF_Biome","Biomass"
"1",21577,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",10.3,1,10,33.9514261680779
"2",21578,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",10.4,1,10,34.6711702167035
"3",21579,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",10.5,1,10,35.3990653445778
"4",21580,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",10.6,1,10,36.1351249143026
"5",21576,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",10,1,10,31.8409652563206
"6",21582,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",11.1,1,10,39.9383498267101
"7",21583,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",11.2,1,10,40.7236709020905
"8",21584,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",11.3,1,10,41.5172471134852
"9",21585,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",11.4,1,10,42.3190910309556
"10",21586,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",11.5,1,10,43.129215132698
"11",21587,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",11.7,1,10,44.7743533512327
"12",21581,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",11,1,10,39.1612712239115
"13",21588,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",12.1,1,10,48.1645311794789
"14",21589,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",12.2,1,10,49.0329585434977
"15",21590,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",12.3,1,10,49.9097627791589
"16",21591,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",12.4,1,10,50.7949555998711
"17",21592,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",12.5,1,10,51.6885486403751
"18",21593,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",12.6,1,10,52.5905534579006
"19",21594,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",12.7,1,10,53.5009815332961
"20",21595,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",13.1,1,10,57.2271534184184
"21",21596,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",13.2,1,10,58.1798673985591
"22",21597,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",13.3,1,10,59.1410719778667
"23",21598,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",13.6,1,10,62.0757387287669
"24",21599,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",13.7,1,10,63.0710147854676
"25",21601,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",14.2,1,10,68.1757790786677
"26",21602,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",14.4,1,10,70.2777933807876
"27",21603,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",14.5,1,10,71.3417223998655
"28",21604,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",14.6,1,10,72.4142796369617
"29",21600,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",14,1,10,66.1081543003627
"30",21605,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",15.3,1,10,80.1646163947932
"31",21606,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",15.5,1,10,82.4572217605259
"32",21607,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",15.7,1,10,84.7847361904511
"33",21608,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",15.9,1,10,87.1472363789767
"34",21610,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",16.3,1,10,91.9774968000143
"35",21611,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",16.5,1,10,94.4454064665656
"36",21612,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",16.7,1,10,96.9486007947673
"37",21609,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",16,1,10,88.3416298789334
"38",21613,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",17.5,1,10,107.315670915517
"39",21614,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",17.6,1,10,108.651559404738
"40",21615,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",17.8,1,10,111.35010253429
"41",21616,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",17.9,1,10,112.712774442351
"42",21617,"VG-VIR-6",-1.37037,29.65852,2015,"Afrocrania volkensii",18.1,1,10,115.464961813616
