"","FID","PLT","LAT","LON","Year","NewPLT","SPCD","DBH","TPH","WWF_Biome","Biomass"
"1",27966,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",5.1,1,7,8.86149552967716
"2",27953,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",5.2,1,7,9.32833322398183
"3",27958,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",5.2,1,7,9.32833322398183
"4",27967,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",5.2,1,7,9.32833322398183
"5",27962,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",5.3,1,7,9.80983473724475
"6",27998,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",5.3,1,7,9.80983473724475
"7",27960,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",5.4,1,7,10.306154298646
"8",27971,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",5.6,1,7,11.3438554436456
"9",28004,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",5.6,1,7,11.3438554436456
"10",27968,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",5.8,1,7,12.4426349914031
"11",27995,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",5.8,1,7,12.4426349914031
"12",28008,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",5.8,1,7,12.4426349914031
"13",27972,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",5.9,1,7,13.0152962546078
"14",27957,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",5,1,7,8.40916555791243
"15",28006,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",5,1,7,8.40916555791243
"16",28000,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",6.1,1,7,14.2078818139457
"17",27964,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",6.2,1,7,14.8280894774755
"18",27963,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",6.3,1,7,15.4644268087077
"19",27997,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",6.3,1,7,15.4644268087077
"20",27959,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",6.4,1,7,16.1170317940893
"21",28002,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",6.4,1,7,16.1170317940893
"22",27956,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",6.5,1,7,16.7860410022892
"23",27961,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",6.5,1,7,16.7860410022892
"24",28003,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",6.5,1,7,16.7860410022892
"25",28007,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",6.5,1,7,16.7860410022892
"26",27999,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",6.8,1,7,18.8928390482871
"27",28001,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",7.6,1,7,25.2655511796515
"28",27973,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",7,1,7,20.3818349845556
"29",28005,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",7,1,7,20.3818349845556
"30",27965,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",8.6,1,7,34.8529288155937
"31",27970,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",8.6,1,7,34.8529288155937
"32",27955,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",9.2,1,7,41.5149718445188
"33",27996,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",9.2,1,7,41.5149718445188
"34",27954,"GABON_LNL-01",-0.21,11.59,2016,"PLT_00000017","Crossopteryx febrifuga",9.4,1,7,43.8925633889966
