"","V1","PLT","TPH","FID","LAT","LON","SPCD","DBH","Year","WWF_Biome"
"1",33096,"GAB-RLE20",1,138590,-1.3987,13.73054,"Dialium pachyphyllum",13.19999981,2006,7
"2",33097,"GAB-RLE20",1,138591,-1.3987,13.73054,"Dialium pachyphyllum",13.19999981,2004,7
"3",33098,"GAB-RLE20",1,138587,-1.3987,13.73054,"Dialium pachyphyllum",13.5,2004,7
"4",33099,"GAB-RLE20",1,138582,-1.3987,13.73054,"Dialium pachyphyllum",14.19999981,2006,7
"5",33100,"GAB-RLE20",1,138577,-1.3987,13.73054,"Dialium pachyphyllum",14.80000019,2004,7
"6",33101,"GAB-RLE20",1,138585,-1.3987,13.73054,"Dialium pachyphyllum",14,2006,7
"7",33102,"GAB-RLE20",1,138574,-1.3987,13.73054,"Dialium pachyphyllum",15.06000042,2004,7
"8",33103,"GAB-RLE20",1,138571,-1.3987,13.73054,"Dialium pachyphyllum",15.5,2006,7
"9",33104,"GAB-RLE20",1,138572,-1.3987,13.73054,"Dialium pachyphyllum",15.5,2004,7
"10",33105,"GAB-RLE20",1,138570,-1.3987,13.73054,"Dialium pachyphyllum",15.69999981,2006,7
"11",33106,"GAB-RLE20",1,138565,-1.3987,13.73054,"Dialium pachyphyllum",16.03000069,2004,7
"12",33107,"GAB-RLE20",1,138564,-1.3987,13.73054,"Dialium pachyphyllum",16.04000092,2004,7
"13",33108,"GAB-RLE20",1,138562,-1.3987,13.73054,"Dialium pachyphyllum",16.39999962,2006,7
"14",33109,"GAB-RLE20",1,138559,-1.3987,13.73054,"Dialium pachyphyllum",16.79999924,2006,7
"15",33110,"GAB-RLE20",1,138558,-1.3987,13.73054,"Dialium pachyphyllum",17.05999947,2004,7
"16",33111,"GAB-RLE20",1,138557,-1.3987,13.73054,"Dialium pachyphyllum",17.10000038,2006,7
"17",33112,"GAB-RLE20",1,138555,-1.3987,13.73054,"Dialium pachyphyllum",18.03000069,2004,7
"18",33113,"GAB-RLE20",1,138553,-1.3987,13.73054,"Dialium pachyphyllum",19.20000076,2006,7
"19",33114,"GAB-RLE20",1,138552,-1.3987,13.73054,"Dialium pachyphyllum",19.39999962,2006,7
"20",33115,"GAB-RLE20",1,138548,-1.3987,13.73054,"Dialium pachyphyllum",20.39999962,2004,7
"21",33116,"GAB-RLE20",1,138547,-1.3987,13.73054,"Dialium pachyphyllum",20.89999962,2006,7
"22",33117,"GAB-RLE20",1,138546,-1.3987,13.73054,"Dialium pachyphyllum",21.04000092,2004,7
"23",33118,"GAB-RLE20",1,138543,-1.3987,13.73054,"Dialium pachyphyllum",22.20000076,2006,7
"24",33119,"GAB-RLE20",1,138541,-1.3987,13.73054,"Dialium pachyphyllum",23.60000038,2004,7
"25",33120,"GAB-RLE20",1,138540,-1.3987,13.73054,"Dialium pachyphyllum",24.5,2006,7
"26",33121,"GAB-RLE20",1,138539,-1.3987,13.73054,"Dialium pachyphyllum",25.03000069,2004,7
"27",33122,"GAB-RLE20",1,138538,-1.3987,13.73054,"Dialium pachyphyllum",25.70000076,2006,7
"28",33123,"GAB-RLE20",1,138537,-1.3987,13.73054,"Dialium pachyphyllum",26,2004,7
"29",33124,"GAB-RLE20",1,138535,-1.3987,13.73054,"Dialium pachyphyllum",27.04000092,2004,7
"30",33125,"GAB-RLE20",1,138536,-1.3987,13.73054,"Dialium pachyphyllum",27,2004,7
"31",33126,"GAB-RLE20",1,138534,-1.3987,13.73054,"Dialium pachyphyllum",28.10000038,2006,7
"32",33127,"GAB-RLE20",1,138533,-1.3987,13.73054,"Dialium pachyphyllum",28.39999962,2006,7
"33",33128,"GAB-RLE20",1,138532,-1.3987,13.73054,"Dialium pachyphyllum",28.79999924,2006,7
"34",33129,"GAB-RLE20",1,138531,-1.3987,13.73054,"Dialium pachyphyllum",29.02000046,2004,7
"35",33130,"GAB-RLE20",1,138530,-1.3987,13.73054,"Dialium pachyphyllum",30.04999924,2004,7
"36",33131,"GAB-RLE20",1,138529,-1.3987,13.73054,"Dialium pachyphyllum",31.29999924,2006,7
"37",33132,"GAB-RLE20",1,138528,-1.3987,13.73054,"Dialium pachyphyllum",32,2006,7
"38",33133,"GAB-RLE20",1,138525,-1.3987,13.73054,"Dialium pachyphyllum",56.04000092,2004,7
"39",33134,"GAB-RLE20",1,138524,-1.3987,13.73054,"Dialium pachyphyllum",58,2006,7
"40",33135,"GAB-RLE20",1,138646,-1.3987,13.73054,"Diogoa zenkeri",16.10000038,2004,7
"41",33136,"GAB-RLE20",1,138645,-1.3987,13.73054,"Diogoa zenkeri",16.60000038,2006,7
"42",33137,"GAB-RLE20",1,138644,-1.3987,13.73054,"Diogoa zenkeri",28.89999962,2004,7
"43",33138,"GAB-RLE20",1,138643,-1.3987,13.73054,"Diogoa zenkeri",36.79999924,2006,7
"44",33139,"GAB-RLE20",1,138650,-1.3987,13.73054,"Diospyros sppGA5",16.01000023,2004,7
"45",33140,"GAB-RLE20",1,138649,-1.3987,13.73054,"Diospyros sppGA5",16.70000076,2006,7
"46",33141,"GAB-RLE20",1,138663,-1.3987,13.73054,"Drypetes gossweileri",12.06999969,2004,7
"47",33142,"GAB-RLE20",1,138662,-1.3987,13.73054,"Drypetes gossweileri",14,2006,7
"48",33143,"GAB-RLE20",1,138709,-1.3987,13.73054,"Duvigneaudia inopinata",11.69999981,2004,7
"49",33144,"GAB-RLE20",1,138710,-1.3987,13.73054,"Duvigneaudia inopinata",11.69999981,2006,7
"50",33145,"GAB-RLE20",1,138708,-1.3987,13.73054,"Duvigneaudia inopinata",13.01000023,2004,7
"51",33146,"GAB-RLE20",1,138707,-1.3987,13.73054,"Duvigneaudia inopinata",13.10000038,2006,7
"52",33147,"GAB-RLE20",1,138705,-1.3987,13.73054,"Duvigneaudia inopinata",15.19999981,2004,7
"53",33148,"GAB-RLE20",1,138703,-1.3987,13.73054,"Duvigneaudia inopinata",16.03000069,2004,7
"54",33149,"GAB-RLE20",1,138702,-1.3987,13.73054,"Duvigneaudia inopinata",16.10000038,2006,7
"55",33150,"GAB-RLE20",1,138701,-1.3987,13.73054,"Duvigneaudia inopinata",16.79999924,2006,7
"56",33151,"GAB-RLE20",1,138698,-1.3987,13.73054,"Duvigneaudia inopinata",18.5,2004,7
"57",33152,"GAB-RLE20",1,138697,-1.3987,13.73054,"Duvigneaudia inopinata",19.20000076,2006,7
"58",33153,"GAB-RLE20",1,138696,-1.3987,13.73054,"Duvigneaudia inopinata",20.02000046,2004,7
"59",33154,"GAB-RLE20",1,138695,-1.3987,13.73054,"Duvigneaudia inopinata",20.39999962,2006,7
"60",33155,"GAB-RLE20",1,138694,-1.3987,13.73054,"Duvigneaudia inopinata",20.5,2004,7
