"","V1","PLT","TPH","FID","LAT","LON","SPCD","DBH","WWF_Biome","BiomassEquationBased","BiomassPackageBased"
"1",1,"GAB-RIV11",1,132030,-0.079111,12.334306,"Afrostyrax sppGA1",16.51000023,1,91.0107493577806,160.583058373424
"2",2,"GAB-RIV11",1,132031,-0.079111,12.334306,"Afrostyrax sppGA1",16.5,1,90.8771709804997,160.336440735141
"3",3,"GAB-RIV11",1,132033,-0.079111,12.334306,"Afzelia bipindensis",14.10000038,1,62.0822470108815,126.786508058593
"4",4,"GAB-RIV11",1,132034,-0.079111,12.334306,"Afzelia bipindensis",14.10000038,1,62.0822470108815,126.786508058593
"5",5,"GAB-RIV11",1,132043,-0.079111,12.334306,"Alstonia sppGA1",45.70000076,1,1073.98388230301,1571.90969367265
"6",6,"GAB-RIV11",1,132042,-0.079111,12.334306,"Alstonia sppGA1",46,1,1091.15493475849,1597.23338857568
"7",7,"GAB-RIV11",1,132046,-0.079111,12.334306,"Anopyxis klaineana",14.5,1,66.4383289718811,147.861523227016
"8",8,"GAB-RIV11",1,132045,-0.079111,12.334306,"Anopyxis klaineana",14.60000038,1,67.5545493440041,150.473996808162
"9",9,"GAB-RIV11",1,132053,-0.079111,12.334306,"Aphanocalyx sppGA1",14.19999981,1,63.1550098656037,83.7268820931928
"10",10,"GAB-RIV11",1,132052,-0.079111,12.334306,"Aphanocalyx sppGA1",16.79999924,1,94.9346844114382,128.392935104321
"11",11,"GAB-RIV11",1,132088,-0.079111,12.334306,"Aucoumea klaineana",10.60000038,1,31.0868927030379,33.2189157407838
"12",12,"GAB-RIV11",1,132060,-0.079111,12.334306,"Aucoumea klaineana",104.8000031,1,8031.33359191364,9573.82790072542
"13",13,"GAB-RIV11",1,132059,-0.079111,12.334306,"Aucoumea klaineana",108.5,1,8736.0787213606,10392.4811374213
"14",14,"GAB-RIV11",1,132085,-0.079111,12.334306,"Aucoumea klaineana",11.89999962,1,41.150162765657,44.7313684712389
"15",15,"GAB-RIV11",1,132087,-0.079111,12.334306,"Aucoumea klaineana",11,1,34.0075148989115,36.5444253152326
"16",16,"GAB-RIV11",1,132084,-0.079111,12.334306,"Aucoumea klaineana",12.80000019,1,49.1053687012038,53.92357324217
"17",17,"GAB-RIV11",1,132058,-0.079111,12.334306,"Aucoumea klaineana",129,1,13289.8205796865,15622.01846632
"18",18,"GAB-RIV11",1,132057,-0.079111,12.334306,"Aucoumea klaineana",131,1,13794.8377532809,16196.2964958539
"19",19,"GAB-RIV11",1,132056,-0.079111,12.334306,"Aucoumea klaineana",135,1,14838.2472820287,17379.6053094175
"20",20,"GAB-RIV11",1,132055,-0.079111,12.334306,"Aucoumea klaineana",137.6999969,1,15567.9379265939,18204.6661046869
"21",21,"GAB-RIV11",1,132083,-0.079111,12.334306,"Aucoumea klaineana",15.39999962,1,76.880821755687,86.4364911193711
"22",22,"GAB-RIV11",1,132082,-0.079111,12.334306,"Aucoumea klaineana",16.29999924,1,88.2298170641257,99.8531423838165
