"","FID","PLT","LAT","LON","Year","SPCD","DBH","TPH","WWF_Biome","Biomass"
"1",132030,"GAB-RIV11",-0.079111,12.334306,2004,"Afrostyrax sppGA1",16.51000023,1,1,160.583058373424
"2",132031,"GAB-RIV11",-0.079111,12.334306,2001,"Afrostyrax sppGA1",16.5,1,1,160.336440735141
"3",132033,"GAB-RIV11",-0.079111,12.334306,2001,"Afzelia bipindensis",14.10000038,1,1,126.786508058593
"4",132034,"GAB-RIV11",-0.079111,12.334306,2004,"Afzelia bipindensis",14.10000038,1,1,126.786508058593
"5",132043,"GAB-RIV11",-0.079111,12.334306,2004,"Alstonia sppGA1",45.70000076,1,1,1571.90969367265
"6",132042,"GAB-RIV11",-0.079111,12.334306,2001,"Alstonia sppGA1",46,1,1,1597.23338857568
"7",132046,"GAB-RIV11",-0.079111,12.334306,2001,"Anopyxis klaineana",14.5,1,1,147.861523227016
"8",132045,"GAB-RIV11",-0.079111,12.334306,2004,"Anopyxis klaineana",14.60000038,1,1,150.473996808162
"9",132053,"GAB-RIV11",-0.079111,12.334306,2001,"Aphanocalyx sppGA1",14.19999981,1,1,83.7268820931928
"10",132052,"GAB-RIV11",-0.079111,12.334306,2004,"Aphanocalyx sppGA1",16.79999924,1,1,128.392935104321
"11",132088,"GAB-RIV11",-0.079111,12.334306,2001,"Aucoumea klaineana",10.60000038,1,1,33.2189157407838
"12",132060,"GAB-RIV11",-0.079111,12.334306,2001,"Aucoumea klaineana",104.8000031,1,1,9573.82790072542
"13",132059,"GAB-RIV11",-0.079111,12.334306,2004,"Aucoumea klaineana",108.5,1,1,10392.4811374213
"14",132085,"GAB-RIV11",-0.079111,12.334306,2001,"Aucoumea klaineana",11.89999962,1,1,44.7313684712389
"15",132087,"GAB-RIV11",-0.079111,12.334306,2004,"Aucoumea klaineana",11,1,1,36.5444253152326
"16",132084,"GAB-RIV11",-0.079111,12.334306,2004,"Aucoumea klaineana",12.80000019,1,1,53.92357324217
"17",132058,"GAB-RIV11",-0.079111,12.334306,2001,"Aucoumea klaineana",129,1,1,15622.01846632
"18",132057,"GAB-RIV11",-0.079111,12.334306,2004,"Aucoumea klaineana",131,1,1,16196.2964958539
"19",132056,"GAB-RIV11",-0.079111,12.334306,2001,"Aucoumea klaineana",135,1,1,17379.6053094175
"20",132055,"GAB-RIV11",-0.079111,12.334306,2004,"Aucoumea klaineana",137.6999969,1,1,18204.6661046869
"21",132083,"GAB-RIV11",-0.079111,12.334306,2001,"Aucoumea klaineana",15.39999962,1,1,86.4364911193711
"22",132082,"GAB-RIV11",-0.079111,12.334306,2004,"Aucoumea klaineana",16.29999924,1,1,99.8531423838165
"23",132080,"GAB-RIV11",-0.079111,12.334306,2001,"Aucoumea klaineana",48.09999847,1,1,1474.36051652895
"24",132079,"GAB-RIV11",-0.079111,12.334306,2004,"Aucoumea klaineana",48.70000076,1,1,1519.59295070403
"25",132081,"GAB-RIV11",-0.079111,12.334306,2001,"Aucoumea klaineana",48,1,1,1466.8981587341
"26",132078,"GAB-RIV11",-0.079111,12.334306,2004,"Aucoumea klaineana",49.79999924,1,1,1604.56366821577
"27",132063,"GAB-RIV11",-0.079111,12.334306,2001,"Aucoumea klaineana",92.19999695,1,1,7065.03882106945
"28",132106,"GAB-RIV11",-0.079111,12.334306,2001,"Baphia sppGA1",11.5,1,1,79.0713634401909
"29",132105,"GAB-RIV11",-0.079111,12.334306,2004,"Baphia sppGA1",11.69999981,1,1,82.6527176339603
"30",132104,"GAB-RIV11",-0.079111,12.334306,2001,"Baphia sppGA1",13.5,1,1,119.252113453753
"31",132103,"GAB-RIV11",-0.079111,12.334306,2004,"Baphia sppGA1",13.89999962,1,1,128.484682115312
"32",132101,"GAB-RIV11",-0.079111,12.334306,2001,"Baphia sppGA1",16.10000038,1,1,186.76558589562
"33",132102,"GAB-RIV11",-0.079111,12.334306,2001,"Baphia sppGA1",16.10000038,1,1,186.76558589562
"34",132100,"GAB-RIV11",-0.079111,12.334306,2004,"Baphia sppGA1",16.29999924,1,1,192.711186334635
"35",132099,"GAB-RIV11",-0.079111,12.334306,2004,"Baphia sppGA1",16.54000092,1,1,199.991984515882
"36",132098,"GAB-RIV11",-0.079111,12.334306,2001,"Baphia sppGA1",16.60000038,1,1,201.837150037593
"37",132096,"GAB-RIV11",-0.079111,12.334306,2004,"Baphia sppGA1",17.60000038,1,1,234.07886571625
"38",132095,"GAB-RIV11",-0.079111,12.334306,2004,"Baphia sppGA1",17.70000076,1,1,237.459060985202
"39",132097,"GAB-RIV11",-0.079111,12.334306,2001,"Baphia sppGA1",17,1,1,214.395434174253
