"","GFBIRawName","family","genus","species","meanWD","sdWD","levelWD","nInd"
"1","Aapaca sppNosymang1",NA,"Aapaca",NA,0.611246215561075,0.124033048371268,"dataset",20776
"25","Abarema  sppTEAM2","Fabaceae","Abarema",NA,0.511571428571429,0.0941339098036177,"genus",2
"2","Abarema acreana","Fabaceae","Abarema","acreana",0.511571428571429,0.0941339098036177,"genus",2
"3","Abarema adenophora","Fabaceae","Abarema","adenophora",0.511571428571429,0.0941339098036177,"genus",2
"4","Abarema auriculata","Fabaceae","Abarema","auriculata",0.511571428571429,0.0941339098036177,"genus",2
"5","Abarema barbouriana","Fabaceae","Abarema","barbouriana",0.511571428571429,0.0941339098036177,"genus",2
"6","Abarema cochleata","Fabaceae","Abarema","cochleata",0.511571428571429,0.0941339098036177,"genus",2
"7","Abarema commutata","Fabaceae","Abarema","commutata",0.511571428571429,0.0941339098036177,"genus",2
"8","Abarema curvicarpa","Fabaceae","Abarema","curvicarpa",0.511571428571429,0.0941339098036177,"genus",2
"9","Abarema filamentosa","Fabaceae","Abarema","filamentosa",0.511571428571429,0.0941339098036177,"genus",2
"10","Abarema floribunda","Fabaceae","Abarema","floribunda",0.511571428571429,0.0941339098036177,"genus",2
"11","Abarema idiopoda","Fabaceae","Abarema","idiopoda",0.511571428571429,0.0941339098036177,"genus",2
"12","Abarema jupunba","Fabaceae","Abarema","jupunba",0.585142857142857,0.0708232617216773,"species",7
"13","Abarema laeta","Fabaceae","Abarema","laeta",0.511571428571429,0.0941339098036177,"genus",2
"14","Abarema langsdorffii","Fabaceae","Abarema","langsdorffii",0.511571428571429,0.0941339098036177,"genus",2
"15","Abarema macradenia","Fabaceae","Abarema","macradenia",0.438,0.0708232617216773,"species",1
"16","Abarema mataybifolia","Fabaceae","Abarema","mataybifolia",0.511571428571429,0.0941339098036177,"genus",2
"17","Abarema microcalyx","Fabaceae","Abarema","microcalyx",0.511571428571429,0.0941339098036177,"genus",2
"18","Abarema racemiflora","Fabaceae","Abarema","racemiflora",0.511571428571429,0.0941339098036177,"genus",2
"23","Abarema sppFPnet1","Fabaceae","Abarema",NA,0.511571428571429,0.0941339098036177,"genus",2
"26","Abarema sppGF1","Fabaceae","Abarema",NA,0.511571428571429,0.0941339098036177,"genus",2
"22","Abarema sppRAINFOR1","Fabaceae","Abarema",NA,0.511571428571429,0.0941339098036177,"genus",2
"20","Abarema sppSCA1","Fabaceae","Abarema",NA,0.511571428571429,0.0941339098036177,"genus",2
"21","Abarema sppTEAM1","Fabaceae","Abarema",NA,0.511571428571429,0.0941339098036177,"genus",2
"24","Abarema sppTEAM2","Fabaceae","Abarema",NA,0.511571428571429,0.0941339098036177,"genus",2
