"","max_depth","min_rows","mtries","ntrees","sample_rate","model_ids","r2","Biome"
"1",60,3,13,100,0.632,"RF_Grid_model_5",0.486014711328501,1
"2",80,1,6,100,0.632,"RF_Grid_model_25",0.39949286171269,2
"3",20,5,9,100,0.632,"RF_Grid_model_2",0.219543988966632,4
"4",10,1,9,100,0.632,"RF_Grid_model_30",0.138539863802469,5
"5",20,3,3,100,0.632,"RF_Grid_model_20",0.204146797036029,6
"6",60,10,6,100,0.632,"RF_Grid_model_13",0.267930593973051,7
"7",80,15,6,100,0.632,"RF_Grid_model_44",0.197963532410478,8
"8",70,1,3,100,0.632,"RF_Grid_model_24",0.232876810388858,10
"9",30,5,13,100,0.632,"RF_Grid_model_6",0.25252515656612,11
"10",40,10,13,100,0.632,"RF_Grid_model_33",0.124918242229303,12
"11",60,3,13,100,0.632,"RF_Grid_model_5",0.252311917614509,13
