"","max_depth","min_rows","mtries","ntrees","sample_rate","model_ids","r2","Biome"
"1","10","1.0","9","100","0.632","RF_Grid_model_28","0.12637928694103928",5
"2","10","20.0","13","100","0.632","RF_Grid_model_13","0.12352306502253552",5
"3","10","5.0","6","100","0.632","RF_Grid_model_20","0.1234718084863815",5
"4","10","20.0","9","100","0.632","RF_Grid_model_22","0.12335814929007838",5
"5","80","10.0","9","100","0.632","RF_Grid_model_34","0.12275506561128258",5
"6","80","15.0","13","100","0.632","RF_Grid_model_11","0.12264549127778412",5
"7","40","15.0","13","100","0.632","RF_Grid_model_36","0.12264549127778412",5
"8","100","15.0","13","100","0.632","RF_Grid_model_41","0.12264549127778412",5
"9","40","15.0","9","100","0.632","RF_Grid_model_27","0.12227263665749033",5
"10","100","15.0","9","100","0.632","RF_Grid_model_9","0.12227263665749033",5
"11","70","20.0","9","100","0.632","RF_Grid_model_26","0.12193474407887073",5
"12","40","20.0","9","100","0.632","RF_Grid_model_3","0.12193474407887073",5
"13","30","20.0","9","100","0.632","RF_Grid_model_38","0.12193474407887073",5
"14","50","5.0","9","100","0.632","RF_Grid_model_18","0.12152272055541247",5
"15","10","20.0","6","100","0.632","RF_Grid_model_30","0.12113526688905663",5
"16","50","10.0","6","100","0.632","RF_Grid_model_12","0.12110327580282276",5
"17","70","10.0","6","100","0.632","RF_Grid_model_37","0.12110327580282276",5
"18","60","10.0","6","100","0.632","RF_Grid_model_46","0.12110327580282276",5
"19","40","20.0","6","100","0.632","RF_Grid_model_42","0.1211028225874623",5
"20","60","20.0","6","100","0.632","RF_Grid_model_5","0.1211028225874623",5
"21","60","15.0","6","100","0.632","RF_Grid_model_44","0.12074113744744241",5
"22","100","15.0","6","100","0.632","RF_Grid_model_8","0.12074113744744241",5
"23","20","10.0","3","100","0.632","RF_Grid_model_4","0.12059881599082423",5
"24","80","10.0","3","100","0.632","RF_Grid_model_48","0.12055961359748246",5
"25","30","10.0","3","100","0.632","RF_Grid_model_29","0.12055144805044038",5
"26","40","10.0","13","100","0.632","RF_Grid_model_24","0.12032572348019743",5
"27","100","10.0","13","100","0.632","RF_Grid_model_32","0.12032572348019743",5
"28","50","5.0","3","100","0.632","RF_Grid_model_17","0.11965535856598075",5
"29","70","15.0","3","100","0.632","RF_Grid_model_2","0.11932685607021176",5
"30","80","15.0","3","100","0.632","RF_Grid_model_7","0.11932685607021176",5
"31","60","5.0","6","100","0.632","RF_Grid_model_10","0.11912890582887847",5
"32","80","5.0","6","100","0.632","RF_Grid_model_15","0.11912890582887847",5
"33","40","5.0","6","100","0.632","RF_Grid_model_25","0.11912600457312195",5
"34","20","20.0","3","100","0.632","RF_Grid_model_33","0.11892196552988477",5
"35","30","20.0","3","100","0.632","RF_Grid_model_43","0.11891778264059194",5
"36","70","20.0","3","100","0.632","RF_Grid_model_31","0.11891560946789259",5
"37","20","5.0","13","100","0.632","RF_Grid_model_23","0.11838613895814498",5
"38","30","5.0","13","100","0.632","RF_Grid_model_16","0.1172569239527046",5
"39","30","3.0","9","100","0.632","RF_Grid_model_19","0.11703109061167827",5
"40","20","1.0","9","100","0.632","RF_Grid_model_39","0.11400092763628478",5
"41","70","3.0","13","100","0.632","RF_Grid_model_35","0.11358296150044911",5
"42","80","3.0","13","100","0.632","RF_Grid_model_6","0.11358296150044911",5
"43","60","1.0","3","100","0.632","RF_Grid_model_40","0.11318689213626132",5
"44","100","1.0","9","100","0.632","RF_Grid_model_21","0.10839417704454679",5
"45","40","1.0","6","100","0.632","RF_Grid_model_14","0.10791998763112454",5
"46","50","1.0","6","100","0.632","RF_Grid_model_47","0.10787686117318951",5
"47","80","1.0","13","100","0.632","RF_Grid_model_1","0.10742556732900799",5
"48","100","1.0","13","100","0.632","RF_Grid_model_45","0.10742556732900799",5
