"family","genus","species","wd","Region","Reference.Number"
"Fabaceae","Abarema","jupunba",0.78,"South America (tropical)",114
"Fabaceae","Abarema","jupunba",0.66,"South America (tropical)",198
"Fabaceae","Abarema","jupunba",0.551,"South America (tropical)",52
"Fabaceae","Abarema","jupunba",0.534,"South America (tropical)",65
"Fabaceae","Abarema","jupunba",0.551,"South America (tropical)",189
"Fabaceae","Abarema","jupunba",0.5,"South America (tropical)",204
"Fabaceae","Abarema","jupunba",0.52,"South America (tropical)",45
"Fabaceae","Abarema","macradenia",0.438,"Central America (tropical)",167
"Pinaceae","Abies","alba",0.353,"Europe",28
"Pinaceae","Abies","amabilis",0.4,"NorthAmerica",7
"Pinaceae","Abies","arizonica",0.289,"NorthAmerica",118
"Pinaceae","Abies","balsamea",0.33,"NorthAmerica",7
"Pinaceae","Abies","concolor",0.37,"NorthAmerica",7
"Pinaceae","Abies","delavayi",0.4,"China",32
"Pinaceae","Abies","ernestii",0.36,"China",32
"Pinaceae","Abies","fabri",0.373,"China",33
"Pinaceae","Abies","fargesii",0.34,"China",32
"Pinaceae","Abies","faxoniana",0.385,"China",33
"Pinaceae","Abies","forrestii",0.35,"China",32
"Pinaceae","Abies","georgei",0.441,"China",33
"Pinaceae","Abies","georgei",0.425,"China",33
"Pinaceae","Abies","grandis",0.35,"NorthAmerica",7
"Pinaceae","Abies","guatemalensis",0.43,"Central America (tropical)",116
"Pinaceae","Abies","holophylla",0.336,"China",33
"Pinaceae","Abies","lasiocarpa",0.31,"NorthAmerica",7
"Pinaceae","Abies","magnifica",0.36,"NorthAmerica",7
"Pinaceae","Abies","nephrolepis",0.331,"China",33
"Pinaceae","Abies","nephrolepis",0.316,"China",33
"Pinaceae","Abies","pindrow",0.38,"India",109
"Pinaceae","Abies","pinsapo",0.41,"Europe",76
"Pinaceae","Abies","procera",0.37,"NorthAmerica",7
"Pinaceae","Abies","religiosa",0.38,"Mexico",51
"Menispermaceae","Abuta","rufescens",0.45,"South America (tropical)",45
"Fabaceae","Acacia","acradenia",0.904,"Australia",90
