,Present,PresentPotential,AbsolutePotential,PlantedPotential
0,257.48134223111344,303.0529849618098,329.98906834856416,3.763498712797376
1,7.249642321859478,12.026745894509721,19.054705975116264,0.23150609178691217
2,2.792058623405796,4.901465952966427,5.909546340796112,0.14713412555493607
3,43.758419334249766,58.07887597273483,74.79467272722212,2.513890370602513
4,19.8191775710582,26.90589525493699,29.45686981492424,1.2516691133914322
5,38.15975495111262,42.172758238542876,44.32527532101554,3.4441724263312814e-05
6,39.353620701067925,71.40141479038003,100.51056431147636,0.4118950438079239
7,3.323223226507596,4.404537201003257,14.81947315289525,0.02648374168243094
8,1.414526276921247,2.470779922921986,3.4669724205597525,0.027279307643522255
9,3.285372449602974,5.2844959141696535,8.105326566479144,0.10950426260478631
10,4.443380763308432,5.012531349794176,6.822320284311821,7.735736389706215e-06
11,1.9853352603637102,3.5855436412576167,6.328575541617783,0.411959836209589
12,1.6905620804554276,3.0492025569735164,10.397047835279057,0.024722493768834286
13,2.3857235819733393,2.9174518575784343,3.372861789655708,0.02608326491782004
sum,427.142139373,545.2646835095791,657.3532804299133,8.94566854222873
