"","ID_AE","U","Unit_U","V","Unit_V","W","Unit_W","X","Unit_X","Z","Unit_Z","Min_X","Max_X","Min_Z","Max_Z","Output","Output_TR","Unit_Y","Age","Veg_Component","Equation","Substitute_equation","Top_dob","Stump_height","R2","R2_Adjusted","RMSE","SEE","Corrected_for_bias","Bias_correction","Ratio_equation","Segmented_equation","Sample_size","Population","B","Bd","Bg","Bt","L","Rb","Rf","Rm","S","T","F","Vegetation_type","Tree_type","Location","Region","Country","Country_3166_3","Continent","Zone_FAO","Zone_Holdridge","Ecoregion_Udvardy","Ecoregion_WWF","Division_Bailey","Latitude","Longitude","Family","Genus","Species","Subspecies","Species_author","Species_local_name","Species_local_name_iso","Species_local_name_latin","Reference_author","Reference_year","Reference","Operator","Contributor","Remark","Contact"
"1",36683,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,5,75,NA,NA,"Biomass",NA,"kg",NA,"total AGB","0.1245*X^(2.4163)","Biomass=0.1245*(DBH)^(2.4163)",NA,NA,NA,0.9736,NA,10.158,NA,NA,NA,NA,"110","Individual",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,"Tree","Compartment 329, Truong Son Commune, Quang Ninh District (QB-QN-02)",NA,"Viet Nam","VNM","Asia","Tropical rainforest","Subtropical wet forest","Tropical humid forests","Tropical and subtropical moist broadleaf forests",NA,15.47113889,107.8157222,"Euphorbiaceae","Macaranga","denticulata",NA,NA,NA,NA,NA,"Hung et al.",2012,"Hung, D.N., Son, N.V., Hung, N.P. (2012) Tree allometric equation development for estimation of forest above-ground biomass in Viet Nam - Evergreen broadleaf forests in  Quang Binh Province in (Eds) Inoguchi, A., Henry, M. Birigazzi, L. Sola, G. Tree allometric equation development for estimation of forest above-ground biomass in Viet Nam, UN-REDD Programme, Hanoi, Viet Nam","Luca Birigazzi","UNREDD",NA,NA
"2",36683,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,5,75,NA,NA,"Biomass",NA,"kg",NA,"total AGB","0.1245*X^(2.4163)","Biomass=0.1245*(DBH)^(2.4163)",NA,NA,NA,0.9736,NA,10.158,NA,NA,NA,NA,"110","Individual",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,"Tree","Compartment 281, Truong Son Commune, Quang Ninh District (QB-QN-01)",NA,"Viet Nam","VNM","Asia","Tropical rainforest","Subtropical wet forest","Tropical humid forests","Tropical and subtropical moist broadleaf forests",NA,15.47036111,107.8165556,"Euphorbiaceae","Macaranga","denticulata",NA,NA,NA,NA,NA,"Hung et al.",2012,"Hung, D.N., Son, N.V., Hung, N.P. (2012) Tree allometric equation development for estimation of forest above-ground biomass in Viet Nam - Evergreen broadleaf forests in  Quang Binh Province in (Eds) Inoguchi, A., Henry, M. Birigazzi, L. Sola, G. Tree allometric equation development for estimation of forest above-ground biomass in Viet Nam, UN-REDD Programme, Hanoi, Viet Nam","Luca Birigazzi","UNREDD",NA,NA
"3",36709,NA,NA,NA,NA,NA,NA,"C","cm",NA,NA,NA,NA,NA,NA,"Biomass",NA,"kg","41823","Bark,Branches,Leaves,Roots,Stump and Trunk","#NAME?","Biomass= -5.790+2.584*(log((C)))",NA,NA,0.9254,NA,NA,NA,NA,NA,NA,NA,NA,"Stand",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,"Tree","Singrauli coal fields",NA,"India","IND","Asia","Tropical dry forest","Tropical dry forest","Tropical dry forests / Woodlands","Tropical and subtropical dry broadleaf forests",NA,24.20165,82.67005,"Myrtaceae","Eucalyptus","eucalyptus hybrid",NA,NA,NA,NA,NA,"Singh, L. & Singh, V.P.",1999,"Singh, L. & Singh, V.P. 1999. Growth performance of selected native and exotic species on coal minespoil. Journal of Tropical Forestry 15, 24?33.","Rini George","KFRI",NA,NA
"4",36716,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,2,9,NA,NA,"Biomass","log","kg",NA,"Whole tree (aboveground)","#NAME?","log Biomass=-2.863+0*(DBH)+2.729*(LOG((DBH)^(1)))",NA,0,0.97,NA,NA,NA,TRUE,0,NA,NA,"20","Individual",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,"Tree","Kilohana, Lihue , island of Kauai",NA,"United States","USA","North America","Tropical rainforest","Cool temperate moist forest","Mixed island systems","Tropical and subtropical moist broadleaf forests",NA,22.001,-159.4302,"Fabaceae","Acacia","mearnsii",NA,NA,NA,NA,NA,"Dudley and Fownes",1992,"Dudley; N;  Fownes; J; 1992; Preliminary biomass equations for eight species of fast-growing tropical trees; Journal of Tropical Forest Science; 5; 68-73;","Luca Birigazzi","UNREDD",NA,NA
"5",36716,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,2,9,NA,NA,"Biomass","log","kg",NA,"Whole tree (aboveground)","#NAME?","log Biomass=-2.863+0*(DBH)+2.729*(LOG((DBH)^(1)))",NA,0,0.97,NA,NA,NA,TRUE,0,NA,NA,"20","Individual",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,"Tree","Mountain View, Puna district 30 km southwest of Hilo , Hawaii island",NA,"United States","USA","North America","Tropical rainforest","Subtropical moist forest","Mixed island systems","Tropical and subtropical moist broadleaf forests",NA,19.4412,-155.0916,"Fabaceae","Acacia","mearnsii",NA,NA,NA,NA,NA,"Dudley and Fownes",1992,"Dudley; N;  Fownes; J; 1992; Preliminary biomass equations for eight species of fast-growing tropical trees; Journal of Tropical Forest Science; 5; 68-73;","Luca Birigazzi","UNREDD",NA,NA
"6",36796,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,15,40,NA,NA,"Biomass","log10","kg",NA,"Whole tree (aboveground)","#NAME?","log10 Biomass=-0.685+2.249*(LOG10((DBH)^(1)))",NA,0,NA,NA,NA,NA,NA,0,NA,NA,"9","Individual",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,"Tree","Northern Highlands State Forest, northern Wisconsin",NA,"United States","USA","North America","Temperate continental forest","Cool temperate moist forest","Temperate broad-leaf forests","Temperate broadleaf and mixed forests",NA,45.9405,-89.6118,"Salicaceae","Populus","tremuloides",NA,NA,NA,NA,NA,"Pastor and Bockheim",1981,"Pastor; J;  Bockheim; J; 1981; Biomass and production of an aspen-mixed hardwood-spodosol ecosystem in northern Wisconsin; Canadian Journal of Forest Research; 11; 132-138;","Luca Birigazzi","UNREDD",NA,NA
"7",36804,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,NA,NA,NA,NA,"Biomass",NA,"kg",NA,"Whole tree (aboveground)","(0.197575*X^2.34002)","(0.197575*(DBH)^2.34002)",NA,NA,0.93,NA,NA,NA,NA,NA,NA,NA,"33","Individual",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Tree","Tamaulipas",NA,"Mexico","MEX","North America",NA,NA,NA,NA,NA,22.925,-99.097222,"Caesalpiniaceae","Bauhinia","divaricata",NA,NA,NA,NA,NA,"Rodríguez",2007,"Rodríguez R., J. Jiménez, J. Meza, O. Aguirre y R. Razo. 2008. Carbono contenido en un bosque tropical subcaducifolio en la reserva de la biosfera el cielo, Tamaulipas, México. Revista Latinoamericana de Recursos Naturales 4 (2):215 -222.","www.mrv.mx","PNUD-CONAFOR","Bosque tropical subcaducifolio, biomasa, CO2, Reserva de la Biosfera El Cielo, Tamaulipas http://www.mrv.mx/modelosalometricos",NA
"8",36805,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,NA,NA,NA,NA,"Biomass","Log","kg",NA,"Aboveground biomass","(-0.727)+(1.131*(log(X)))","(-0.727)+(1.131*(log((DBH))))",NA,NA,0.95,NA,NA,NA,NA,NA,NA,NA,"26","Individual",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Tree","Jawa Barat",NA,"Indonesia","IDN","Asia","Tropical mountain system","Subtropical wet forest","Mixed island systems","Tropical and subtropical moist broadleaf forests",NA,-7.09,107.67,"Fabaceae","Acacia","mangium",NA,NA,NA,NA,NA,"Hiratsuka, M. et al.",2003,"Krisnawati, H., W. C. Adinugroho and R. Imanuddin (2012). Monograph Allometric Models for Estimating Tree Biomass at Vrious Forest Ecosystem Types in Indonesia. Bogor, Indonesia, Research and Development Center for Conservation and Rehabilitation,  Forestry Research and Development Agency, Ministry of Forestry.","Mohamad Danial","FRIM","Underestimate",NA
"9",36813,NA,NA,NA,NA,NA,NA,"DBH^2","in2",NA,NA,3,24,NA,NA,"Biomass",NA,"lb",NA,"Whole tree (aboveground)","0+0*X+2.56795*(X^(1.18685))","Biomass=0+0*(DBH^2)+2.56795*((DBH^2)^(1.18685))",NA,0,0.95,NA,NA,NA,NA,0,NA,NA,"18","Individual",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,"Tree",NA,NA,"United States","USA","North America","Temperate steppe","Cool temperate steppe","Temperate grasslands","Temperate grasslands, savannas, and shrublands",NA,41.312521,-101.879768,"Cornaceae","Nyssa","sylvatica",NA,NA,NA,NA,NA,"Phillips",1981,"Phillips; D; 1981; Predicted total-tree biomass of understory hardwoods; Res; Pap; SE-223; Asheville; NC; U;S; Department of Agriculture; Forest Service; Southeastern Forest Experiment Station;","Luca Birigazzi","UNREDD",NA,NA
"10",36822,NA,NA,NA,NA,NA,NA,"DBH","cm",NA,NA,NA,NA,NA,NA,"Biomass",NA,"kg",NA,"Whole tree (aboveground)","(0.061554*X^2.53157)","(0.061554*(DBH)^2.53157)",NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,"20","Individual",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Tree","Tamaulipas",NA,"Mexico","MEX","North America",NA,NA,NA,NA,NA,22.925,-99.097222,"Juglandaceae","Carya","ovata",NA,NA,NA,NA,NA,"Rodríguez",2007,"Rodríguez R., J. Jiménez, O. Aguirre, E. Treviño y E. Treviño. 2006. Estimación de carbono almacenado de niebla en Tamaulipas, México. Ciencia UANL 9(2): 179-188.","www.mrv.mx","PNUD-CONAFOR","http://www.mrv.mx/modelosalometricos",NA
