"","Var1","Freq"
"1","Age",61
"2","B",3
"3","BA",269
"4","BA0",33
"5","BA0.1",8
"6","BD",379
"7","C",1047
"8","C10",4
"9","C180",3
"10","C30",39
"11","CA",94
"12","Cb",60
"13","Cb5",77
"14","CD",55
"15","CH",1
"16","CR",17
"17","CS",11
"18","CV",1
"19","D",5
"20","D0",257
"21","D10",240
"22","D20",8
"23","D30",82
"24","DB",4
"25","DBH",16393
"26","DBH^2",6440
"27","DBH1",2
"28","Dr",1
"29","Fresh mass",2
"30","G",28
"31","H",520
"32","H0",3
"33","HL",4
"34","Hm",2
"35","Leaf weight",2
"36","Log10(BA)",1
"37","Log10(DBH)",141
"38","MCH",2
"39","N",1
"40","Projection area",1
"41","R",6
"42","Root weight",1
"43","shrub volume",1
"44","Stem biomass",3
"45","Stem dry weight",6
"46","Stem weight",4
"47","Tr",1
"48","Trunk biomass",2
"49","Trunk weight",1
"50","V",98
"51","VBF",5
"52","Vs",14
"53","WD",10
"54","Wtc",1
"55","Yr",14
