,ID_AE,Latitude,Longitude,Family,Genus,Species,Substitute_equation,Unit_X,Min_X,Max_X,Output_TR,Unit_Y,Ecoregion_WWF,Veg_Component
1,36683,15.47113889,107.8157222,Euphorbiaceae,Macaranga,denticulata,Biomass=0.1245*(DBH)^(2.4163),cm,5,75,NA,kg,Tropical and subtropical moist broadleaf forests,total AGB
2,36683,15.47036111,107.8165556,Euphorbiaceae,Macaranga,denticulata,Biomass=0.1245*(DBH)^(2.4163),cm,5,75,NA,kg,Tropical and subtropical moist broadleaf forests,total AGB
3,36716,22.001,-159.4302,Fabaceae,Acacia,mearnsii,log Biomass=-2.863+0*(DBH)+2.729*(LOG((DBH)^(1))),cm,2,9,log,kg,Tropical and subtropical moist broadleaf forests,Whole tree (aboveground)
4,36716,19.4412,-155.0916,Fabaceae,Acacia,mearnsii,log Biomass=-2.863+0*(DBH)+2.729*(LOG((DBH)^(1))),cm,2,9,log,kg,Tropical and subtropical moist broadleaf forests,Whole tree (aboveground)
5,36725,4.83776,-73.90108,Clethraceae,Clethra,fimbriata,Biomass=1/(-0.0335468+0.942995/(DBH)),cm,10,50,NA,kg,Montane grasslands,Stem+bark+leaves+branches
6,36726,6.088611,-73.132361,Clusiaceae,Clusia,cruciata,Biomass=1/(0.0396932-0.00147767*(DBH)),cm,20,30,NA,kg,Tropical and subtropical moist broadleaf forests,Stem+bark+leaves+branches
7,36727,6.088611,-73.132361,Rubiaceae,Faramea,flavicans,Biomass=1/(-0.025+0.695/(DBH)),cm,20,30,NA,kg,Tropical and subtropical moist broadleaf forests,Stem+bark+leaves+branches
8,36728,6.088611,-73.132361,Melastomataceae,Blakea,granatensis,Biomass=1/(0.0300214-0.000971252*(DBH)),cm,20,30,NA,kg,Tropical and subtropical moist broadleaf forests,Stem+bark+leaves+branches
9,36732,4.83776,-73.90108,Ericaceae,Macleania,rupestris,Biomass=(-2.45123+0.81375*(DBH))^(2),cm,10,50,NA,kg,Montane grasslands,Stem+bark+leaves+branches
10,36796,45.9405,-89.6118,Salicaceae,Populus,tremuloides,log10 Biomass=-0.685+2.249*(LOG10((DBH)^(1))),cm,15,40,log10,kg,Temperate broadleaf and mixed forests,Whole tree (aboveground)
13,36811,44.8831,-68.6719,Fagaceae,Fagus,grandifolia,log Biomass=1.3303+0*(DBH)+2.2988*(log((DBH)^(1))),in,1,26,log,lb,Temperate broadleaf and mixed forests,Whole tree (above stump)
14,36813,41.312521,-101.879768,Cornaceae,Nyssa,sylvatica,Biomass=0+0*(DBH^2)+2.56795*((DBH^2)^(1.18685)),in2,3,24,NA,lb,"Temperate grasslands, savannas, and shrublands",Whole tree (aboveground)
15,36817,35.212,-83.4217,Fagaceae,Quercus,velutina,Biomass=0+0*(DBH^2)+2.5465*((DBH^2)^(1.22586)),in2,139,475,NA,lb,Temperate broadleaf and mixed forests,Stem + branches (live)
