"","ID_AE","Latitude","Longitude","Family","Genus","Species","Ecoregion_WWF","Veg_Component"
"38",36683,15.47113889,107.8157222,"Euphorbiaceae","Macaranga","denticulata","Tropical and subtropical moist broadleaf forests","total AGB"
"39",36683,15.47036111,107.8165556,"Euphorbiaceae","Macaranga","denticulata","Tropical and subtropical moist broadleaf forests","total AGB"
"78",36716,22.001,-159.4302,"Fabaceae","Acacia","mearnsii","Tropical and subtropical moist broadleaf forests","Whole tree (aboveground)"
"79",36716,19.4412,-155.0916,"Fabaceae","Acacia","mearnsii","Tropical and subtropical moist broadleaf forests","Whole tree (aboveground)"
"103",36725,4.83776,-73.90108,"Clethraceae","Clethra","fimbriata","Montane grasslands","Stem+bark+leaves+branches"
"104",36726,6.088611,-73.132361,"Clusiaceae","Clusia","cruciata","Tropical and subtropical moist broadleaf forests","Stem+bark+leaves+branches"
"105",36727,6.088611,-73.132361,"Rubiaceae","Faramea","flavicans","Tropical and subtropical moist broadleaf forests","Stem+bark+leaves+branches"
"106",36728,6.088611,-73.132361,"Melastomataceae","Blakea","granatensis","Tropical and subtropical moist broadleaf forests","Stem+bark+leaves+branches"
"112",36732,4.83776,-73.90108,"Ericaceae","Macleania","rupestris","Montane grasslands","Stem+bark+leaves+branches"
"228",36796,45.9405,-89.6118,"Salicaceae","Populus","tremuloides","Temperate broadleaf and mixed forests","Whole tree (aboveground)"
"237",36804,22.925,-99.097222,"Caesalpiniaceae","Bauhinia","divaricata",NA,"Whole tree (aboveground)"
"238",36805,-7.09,107.67,"Fabaceae","Acacia","mangium","Tropical and subtropical moist broadleaf forests","Aboveground biomass"
"244",36811,44.8831,-68.6719,"Fagaceae","Fagus","grandifolia","Temperate broadleaf and mixed forests","Whole tree (above stump)"
"246",36813,41.312521,-101.879768,"Cornaceae","Nyssa","sylvatica","Temperate grasslands, savannas, and shrublands","Whole tree (aboveground)"
"304",36817,35.212,-83.4217,"Fagaceae","Quercus","velutina","Temperate broadleaf and mixed forests","Stem + branches (live)"
"305",36817,35.8022,-82.3452,"Fagaceae","Quercus","velutina","Temperate broadleaf and mixed forests","Stem + branches (live)"
"306",36817,34.766,-84.1435,"Fagaceae","Quercus","velutina","Temperate broadleaf and mixed forests","Stem + branches (live)"
"308",36819,30.0684,-83.3669,"Aceraceae","Acer","rubrum","Temperate coniferous forests","Whole tree (above stump)"
"309",36819,34.1901,-78.2818,"Aceraceae","Acer","rubrum","Temperate coniferous forests","Whole tree (above stump)"
"310",36819,34.8324,-77.345,"Aceraceae","Acer","rubrum","Temperate coniferous forests","Whole tree (above stump)"
