"","binomial"
"1","Aapaca sppNosymang1"
"2","Abarema sppTEAM2"
"3","Abarema acreana"
"4","Abarema adenophora"
"5","Abarema auriculata"
"6","Abarema barbouriana"
"7","Abarema cochleata"
"8","Abarema commutata"
"9","Abarema curvicarpa"
"10","Abarema filamentosa"
"11","Abarema floribunda"
"12","Abarema idiopoda"
"13","Abarema jupunba"
"14","Abarema laeta"
"15","Abarema langsdorffii"
"16","Abarema macradenia"
"17","Abarema mataybifolia"
"18","Abarema microcalyx"
"19","Abarema racemiflora"
"20","Abarema sppFPnet1"
"21","Abarema sppGF1"
"22","Abarema sppRAINFOR1"
"23","Abarema sppSCA1"
"24","Abarema sppTEAM1"
"25","Abarema sppTEAM2 1"
"26","Abarema turbinata"
"27","Abatia sppAchupall1"
"28","Abrahamia ditimena"
"29","Abrahamia lenticellata"
"30","Abrahamia thouvenotii"
"31","Abuta grandifolia"
"32","Abuta grisebachii"
"33","Abuta pahnii"
"34","Abuta panamensis"
"35","Abuta panurensis"
"36","Abuta racemosa"
"37","Abuta rufescens"
"38","Abuta solimoesensis"
"39","Abuta sppAnchicay1"
"40","Abuta sppAntado1"
"41","Abuta sppAraracua1"
"42","Abuta sppCamorin1"
"43","Abuta sppConstanc1"
"44","Abuta sppCuangos1"
"45","Abuta sppCuzcoama1"
"46","Abuta sppCuzcoama2"
"47","Abuta sppLinhares1"
"48","Abuta sppNangarit1"
"49","Abuta sppPE1"
"50","Abuta sppPipeline1"
"51","Abuta sppRAINFOR1"
"52","Abuta sppTamboall1"
"53","Abuta sppTamboall2"
"54","Acacia acanthophylla"
"55","Acacia alemquerensis"
"56","Acacia altiscandens"
"57","Acacia anegadensis"
"58","Acacia angustissima"
"59","Acacia auriculiformis"
"60","Acacia bonariensis"
"61","Acacia burkei"
"62","Acacia caffra"
"63","Acacia confusa"
"64","Acacia cornigera"
"65","Acacia dolichostachya"
"66","Acacia drakei"
"67","Acacia farnesiana"
"68","Acacia gerrardii"
"69","Acacia glomerosa"
"70","Acacia grandicornuta"
"71","Acacia guadalupensis"
"72","Acacia huberi"
"73","Acacia kamerunensis"
"74","Acacia karroo"
"75","Acacia klugii"
"76","Acacia koa"
"77","Acacia koaia"
"78","Acacia kuhlmannii"
"79","Acacia loretensis"
"80","Acacia macbridei"
"81","Acacia macracantha"
"82","Acacia macrantha"
"83","Acacia mearnsii"
"84","Acacia melanoceras"
"85","Acacia muricata"
"86","Acacia nilotica"
"87","Acacia pennata"
"88","Acacia pentagona"
"89","Acacia polyphylla"
"90","Acacia praecox"
"91","Acacia pteridifolia"
"92","Acacia rhodoxylon"
"93","Acacia riparia"
"94","Acacia sppAllpahua1"
"95","Acacia sppAraracua1"
"96","Acacia sppCabezade1"
"97","Acacia sppCalabate1"
"98","Acacia sppCamorin1"
"99","Acacia sppCarajas1"
"100","Acacia sppChaquima1"
"101","Acacia sppChaquima2"
"102","Acacia sppChaquima3"
"103","Acacia sppChaquima4"
"104","Acacia sppCuzcoama1"
"105","Acacia sppFPnet1"
"106","Acacia sppGT1"
"107","Acacia sppJatunsac1"
"108","Acacia sppMadidiri1"
"109","Acacia sppNuevomun1"
"110","Acacia sppNuevomun2"
"111","Acacia sppPE1"
"112","Acacia sppPande1"
"113","Acacia sppRAINFOR1"
"114","Acacia sppRioheath1"
"115","Acacia sppRioheath2"
"116","Acacia sppRionegro1"
"117","Acacia sppRiotavar1"
"118","Acacia sppTutunend1"
"119","Acacia sppVN1"
"120","Acacia tacanensis"
"121","Acacia tenuifolia"
"122","Acacia tortilis"
"123","Acacia turbacensis"
"124","Acacia visco"
"125","Acalypha cuneata"
"126","Acalypha diversifolia"
"127","Acalypha ferdinandii"
"128","Acalypha macrostachya"
"129","Acalypha mapirensis"
"130","Acalypha obovata"
"131","Acalypha repanda"
"132","Acalypha skutchii"
"133","Acalypha sppCampano1"
"134","Acalypha sppCueva1"
"135","Acalypha sppFPnet1"
"136","Acalypha sppHachimal1"
"137","Acalypha sppLagenoa1"
"138","Acalypha sppLaplanad1"
"139","Acalypha sppNadugani1"
"140","Acalypha sppRAINFOR1"
"141","Acalypha stenoloba"
"142","Acalypha stricta"
"143","Acalypha villosa"
"144","Acanthocereus sppChaquima1"
"145","Acanthocladus pulcherrimus"
"146","Acanthosyris annonagustata"
"147","Acca sellowiana"
"148","Acer caesium"
"149","Acer cordatum"
"150","Acer fabri"
"151","Acer rubrum"
"152","Aceratium oppositifolium"
"153","Aceratium parvifolium"
"154","Aceratium sppPacific1"
"155","Aceratium sppVarirata1"
"156","Aceratium sppVarirata3"
"157","Achatocarpus nigricans"
"158","Achatocarpus praecox"
"159","Achras zapota"
"160","Acidoton sppRanchoqu1"
"161","Acioa scabrifolia"
"162","Acmena acuminatissima"
"163","Acnistus arborescens"
"164","Acosmium lentiscifolium"
"165","Acosmium sppRAINFOR1"
"166","Acrocomia aculeata"
"167","Acrocomia media"
"168","Acronychia laevis"
"169","Acronychia pedunculata"
"170","Acropogon aoupiniensis"
"171","Acropogon grandiflorus"
"172","Acropogon merytifolius"
"173","Acropogon sageniifolius"
"174","Acropogon schistophilus"
"175","Acropogon schumannianus"
"176","Acsmithia sppNewcaldo1"
"177","Actinodaphne borneensis"
"178","Actinodaphne macrophylla"
"179","Actinodaphne nitida"
"180","Actinodaphne obovata"
"181","Actinodaphne pruinosa"
"182","Actinodaphne sppBaitete1"
"183","Actinodaphne sppTEAM1"
"184","Actinokentia divaricata"
"185","Actinostemon brasiliensis"
"186","Actinostemon concepcionis"
"187","Actinostemon concolor"
"188","Actinostemon klotzschii"
"189","Actinostemon sppBRii1"
"190","Actinostemon sppBRii2"
"191","Actinostemon sppSCA1"
"192","Acumea kleniana"
"193","Adansonia digitata"
"194","Adelia ricinella"
"195","Adelia triloba"
"196","Adelobotrys adscendens"
"197","Adelobotrys sppMiazi1"
"198","Adelobotrys sppTutunend1"
"199","Adenanthera bicolor"
"200","Adenanthera klaineana"
"201","Adenanthera malayana"
"202","Adenanthera microsperma"
"203","Adenanthera pavonina"
"204","Adenanthera sppPasoh401"
"205","Adenocalymma hirtum"
"206","Adenocalymma sppPE1"
"207","Adenocalymma sppSCA1"
"208","Adenocalymna bracteatum"
"209","Adenocalymna flavum"
"210","Adenocalymna grandifolium"
"211","Adenocalymna hirtum"
"212","Adenocalymna impressum"
"213","Adenocalymna inundatum"
"214","Adenocalymna magdalenense"
"215","Adenocalymna marginatum"
"216","Adenocalymna paulistarum"
"217","Adenocalymna prancei"
"218","Adenocalymna purpurascens"
"219","Adenocalymna redactum"
"220","Adenocalymna salmoneum"
"221","Adenocalymna sclerophyllum"
"222","Adenocalymna sppCarajas1"
"223","Adenocalymna uleanum"
"224","Adenophaedra megalophylla"
"225","Adenophora grandiflora"
"226","Adenopodia scelerata"
"227","Adenopus sppMtcam1"
"228","Adenostephanus sppSCA1"
"229","Adina pilulifera"
"230","Adina polycephala"
"231","Adina sppVN1"
"232","Adinandra formosana"
"233","Adinandra glischroloma"
"234","Adinandra millettii"
"235","Adinandra sppGenting1"
"236","Adinandra sppGenting2"
"237","Aegiphila alba"
"238","Aegiphila albavel"
"239","Aegiphila anomala"
"240","Aegiphila brachiata"
"241","Aegiphila cephalophora"
"242","Aegiphila chrysantha"
"243","Aegiphila cordata"
"244","Aegiphila costaricensis"
"245","Aegiphila elata"
"246","Aegiphila elegans"
"247","Aegiphila glabra"
"248","Aegiphila haughtii"
"249","Aegiphila hirsuta"
"250","Aegiphila hoehnei"
"251","Aegiphila integrifolia"
"252","Aegiphila laeta"
"253","Aegiphila lanceolata"
"254","Aegiphila macrantha"
"255","Aegiphila obducta"
"256","Aegiphila odontophylla"
"257","Aegiphila panamensis"
"258","Aegiphila sellowiana"
"259","Aegiphila sppAraracua1"
"260","Aegiphila sppBRi1"
"261","Aegiphila sppCedral1"
"262","Aegiphila sppCerroesp1"
"263","Aegiphila sppCuangos1"
"264","Aegiphila sppCuevas1"
"265","Aegiphila sppFPnet1"
"266","Aegiphila sppFarall1"
"267","Aegiphila sppLaraya1"
"268","Aegiphila sppLinhares1"
"269","Aegiphila sppMagsasay1"
"270","Aegiphila sppPersever1"
"271","Aegiphila sppRiomanso1"
"272","Aegiphila sppRiotavar1"
"273","Aegiphila sppSabanaru1"
"274","Aegiphila sppTamblat21"
"275","Aegiphila sppUcumari1"
"276","Aegiphila verticillata"
"277","Aequatorium cajamarcense"
"278","Aerioselam macrocarpom"
"279","Affonsea sppFPnet1"
"280","Affonsea sppSCA1"
"281","Afraegle paniculata"
"282","Afrife sppCDi1"
"283","Afrimax sppCDi1"
"284","Afrosersalisia afzelii"
"285","Afrostyrax kamerunensis"
"286","Afrostyrax lepidophyllus"
"287","Afrostyrax sppBanyong1"
"288","Afrostyrax sppGA1"
"289","Afrostyrax sppGA2"
"290","Afrostyrax sppNdakanni1"
"291","Afzelia africana"
"292","Afzelia bella"
"293","Afzelia bipindensis"
"294","Afzelia bracteata"
"295","Afzelia pachyloba"
"296","Afzelia parviflora"
"297","Afzelia sppFPnet1"
"298","Aganope lucida"
"299","Agarista eucalyptoides"
"300","Agarista salicifolia"
"301","Agatea rufotomentosa"
"302","Agatea sppNewcaldo1"
"303","Agatea sppNewcaldo2"
"304","Agathis lanceolata"
"305","Agathis macrophylla"
"306","Agathis moorei"
"307","Agathis sppNewcaldo1"
"308","Agauria salicifolia"
"309","Agelaea borneensis"
"310","Agelaea obliqua"
"311","Agelaea paradoxa"
"312","Agelaea pentagyna"
"313","Agelaea sppNdakani1"
"314","Agelaea sppNdakanni1"
"315","Agelaea sppPasoh401"
"316","Agelaea sppPerinet1"
"317","Agelaea trinervis"
"318","Aglaia anamallayana"
"319","Aglaia aquea"
"320","Aglaia argentea"
"321","Aglaia basiphylla"
"322","Aglaia borneensis"
"323","Aglaia cinerea"
"324","Aglaia cordata"
"325","Aglaia crysocelata"
"326","Aglaia cucullata"
"327","Aglaia cumingiana"
"328","Aglaia dookoo"
"329","Aglaia edulis"
"330","Aglaia elaeagnoidea"
"331","Aglaia eximia"
"332","Aglaia exstipulata"
"333","Aglaia forbesii"
"334","Aglaia ganggo"
"335","Aglaia gigantea"
"336","Aglaia glabriflora"
"337","Aglaia lawii"
"338","Aglaia leptantha"
"339","Aglaia macrocarpa"
"340","Aglaia mariannensis"
"341","Aglaia odoratissima"
"342","Aglaia oligophylla"
"343","Aglaia palauensis"
"344","Aglaia parksii"
"345","Aglaia roxburghiana"
"346","Aglaia rubiginosa"
"347","Aglaia saltatorum"
"348","Aglaia samoensis"
"349","Aglaia sapindina"
"350","Aglaia sexipetala"
"351","Aglaia silvestris"
"352","Aglaia speciosa"
"353","Aglaia spectabilis"
"354","Aglaia sppPacific1"
"355","Aglaia sppPacific2"
"356","Aglaia sppPacific3"
"357","Aglaia sppPasoh301"
"358","Aglaia sppTEAM1"
"359","Aglaia sppTEAM2"
"360","Aglaia sppTEAM3"
"361","Aglaia sppTEAM4"
"362","Aglaia sppTEAM5"
"363","Aglaia sppTEAM6"
"364","Aglaia sppTEAM7"
"365","Aglaia sppTEAM8"
"366","Aglaia sppTEAM9"
"367","Aglaia sppVarirata1"
"368","Aglaia sppVarirata2"
"369","Aglaia sppVarirata3"
"370","Aglaia sppVarirata4"
"371","Aglaia sppVarirata5"
"372","Aglaia tenuicaulis"
"373","Aglaia tomentosa"
"374","Aglaia trichilia"
"375","Aglaia unifolia"
"376","Aglaia vitiensis"
"377","Agonandra brasiliensis"
"378","Agonandra engleri"
"379","Agonandra excelsa"
"380","Agonandra peruviana"
"381","Agonandra silvatica"
"382","Agonandra sppChaquima1"
"383","Agonandra sppFPnet1"
"384","Agonandra sppRAINFOR1"
"385","Agonandra sppSCA1"
"386","Agonandra sppTEAM1"
