"","binomial"
"1","Xymalos monospora"
"2","Leptonychia mildbraedii"
"3","Alangium chinense"
"4","Newtonia buchananii"
"5","Drypetes sppTEAM3"
"6","Cassipourea gummifera"
"7","Myrianthus holstii"
"8","Carapa grandiflora"
"9","Sapium ellipticum"
"10","Clausena anisata"
"11","Psychotria mahonii"
"12","Millettia dura"
"13","unknown sppET1"
"14","Ilex mitis"
"15","Macaranga barteri"
"16","unknown sppTEAM9"
"17","unknown sppTEAM9"
"18","Ilex mitis"
"19","Psychotria mahonii"
"20","Polyscias fulva"
"21","unknown sppTEAM2"
"22","Carapa grandiflora"
"23","Polyscias fulva"
"24","Psychotria mahonii"
"25","Leptonychia mildbraedii"
"26","Leptonychia mildbraedii"
"27","Maesa lanceolata"
"28","Psychotria mahoni"
"29","Polyscias fulva"
"30","Maesa lanceolata"
"31","Alangium chinense"
"32","Sapium ellipticum"
"33","Polyscias fulva"
"34","Bridelia micrantha"
"35","Macaranga barteri"
"36","Carapa grandiflora"
"37","Sapium ellipticum"
"38","Newtonia buchananii"
"39","Croton macrostachyus"
"40","Sapium ellipticum"
"41","unknown sppTEAM9"
"42","Leptonychia mildbraedii"
"43","Leptonychia mildbraedii"
"44","Syzygium guineense"
"45","Macaranga barteri"
"46","Ilex mitis"
"47","Macaranga barteri"
"48","Millettia dura"
"49","Millettia dura"
"50","Maesa lanceolata"
"51","Macaranga barteri"
"52","Newtonia buchananii"
"53","Newtonia buchananii"
"54","Ficus natelensis"
"55","Bridelia micrantha"
"56","Ilex mitis"
"57","Millettia dura"
"58","Trichoscypha submontana"
"59","unknown sppTEAM2"
"60","Macaranga barteri"
"61","Drypetes sppTEAM3"
"62","Parinari excelsa"
"63","Ilex mitis"
"64","Xymalos monospora"
"65","Albizia gummifera"
"66","Millettia dura"
"67","Tabernaemontana holstii"
"68","Xymalos monospora"
"69","Erythrina abyssinica"
"70","Cassipourea sppTEAM1"
"71","Albizia gummifera"
"72","Myrianthus holstii"
"73","Leptonychia mildbraedii"
"74","unknown sppTEAM9"
"75","Chrysophyllum sppTEAM5"
"76","Sapium ellipticum"
"77","Maesa lanceolata"
"78","Alangium chinense"
"79","Sapium ellipticum"
"80","Macaranga barteri"
"81","Psychotria mahonii"
"82","unknown sppTEAM9"
"83","Sapium ellipticum"
"84","Millettia dura"
"85","Dichaetanthera corymbosa"
"86","Maesa lanceolata"
"87","Sapium ellipticum"
"88","Millettia ferruginea"
"89","Trichoscypha submontana"
"90","Xymalos monospora"
"91","Sapium ellipticum"
"92","Allophylus abyssinicus"
"93","Sapium ellipticum"
"94","Leptonychia mildbraedii"
"95","Xymalos monospora"
"96","Pauridiantha callicarpoides"
"97","Drypetes ugandensis"
"98","Rytigynia ruwenzoriensis"
"99","Macaranga barteri"
"100","Carapa grandiflora"
"101","Leptonychia mildbraedii"
"102","Millettia dura"
"103","Sapium ellipticum"
"104","Macaranga barteri"
"105","Ilex mitis"
"106","Allophylus abyssinicus"
"107","Carapa grandiflora"
"108","Drypetes sppTEAM3"
"109","unknown sppTEAM9"
"110","Dichaetanthera corymbosa"
"111","Drypetes ugandensis"
"112","Bridelia micrantha"
"113","Ocotea usambarensis"
"114","Entandrophragma excelsum"
"115","Polyscias fulva"
"116","Macaranga barteri"
"117","unknown sppTEAM9"
"118","Prunus africana"
"119","Macaranga barteri"
"120","Cassipourea sppTEAM1"
"121","Tabernaemontana holstii"
"122","Newtonia buchananii"
"123","Millettia dura"
"124","Alangium chinense"
"125","Cassipourea sppTEAM1"
"126","unknown sppTEAM9"
"127","Macaranga barteri"
"128","Drypetes sppTEAM3"
"129","Rytigynia ruwenzoriensis"
"130","unknown sppTEAM9"
"131","Millettia dura"
"132","Sapium ellipticum"
"133","unknown sppTEAM9"
"134","Millettia dura"
"135","unknown sppTEAM9"
"136","Millettia dura"
"137","Macaranga barteri"
"138","Sapium ellipticum"
"139","Sapium ellipticum"
"140","unknown sppTEAM9"
"141","unknown sppTEAM9"
"142","Millettia dura"
"143","Funtumia sppTEAM1"
"144","Macaranga barteri"
"145","Ilex mitis"
"146","Ilex mitis"
"147","Cyathea manniana"
"148","Newtonia buchananii"
"149","Psychotria mahonii"
"150","Drypetes sppTEAM3"
"151","Millettia dura"
"152","Allophylus abyssinicus"
"153","Alangium chinense"
"154","Psychotria mahonii"
"155","Sapium ellipticum"
"156","Millettia dura"
"157","Bridelia micrantha"
"158","Macaranga barteri"
