Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
Aapaca sppNosymang1,Aapaca,,0.9,Invalid,,,,tropicos, ,
Abarema  sppTEAM2,Abarema,,0.9,Accepted,Abarema,,Fabaceae,tpl, ,
Abarema acreana,Abarema acreana,,1,Accepted,Abarema acreana,(J.F.Macbr.)L.Rico,Fabaceae,ildis, ,
Abarema adenophora,Abarema adenophora,,1,Accepted,Abarema adenophora,(Ducke) Barneby & J.W. Grimes,Fabaceae,tpl;tropicos, ,
Abarema auriculata,Abarema auriculata,,1,Accepted,Abarema auriculata,(Benth.)Barneby & J.W.Grimes,Fabaceae,ildis, ,
Abarema barbouriana,Abarema barbouriana,,1,Accepted,Abarema barbouriana,(Standl.)Barneby & J.W.Grimes,Fabaceae,ildis, ,
Abarema cochleata,Abarema cochleata,,1,Accepted,Abarema cochleata,(Willd.)Barneby & J.W.Grimes,Fabaceae,ildis, ,
Abarema commutata,Abarema commutata,,1,Accepted,Abarema commutata,Barneby & J.W.Grimes,Fabaceae,ildis, ,
Abarema curvicarpa,Abarema curvicarpa,,1,Accepted,Abarema curvicarpa,(H.S.Irwin)Barneby & J.W.Grimes,Fabaceae,ildis, ,
Abarema filamentosa,Abarema filamentosa,,1,Accepted,Abarema filamentosa,(Benth.)Pittier,Fabaceae,ildis, ,
Abarema floribunda,Abarema floribunda,,1,Accepted,Abarema floribunda,(Benth.)Barneby & J.W.Grimes,Fabaceae,ildis, ,
Abarema idiopoda,Abarema idiopoda,,1,Accepted,Abarema idiopoda,(S.F.Blake)Barneby & J.W.Grimes,Fabaceae,ildis, ,
Abarema jupunba,Abarema jupunba,,1,Accepted,Abarema jupunba,(Willd.)Britton & Killip,Fabaceae,ildis, ,
Abarema laeta,Abarema laeta,,1,Accepted,Abarema laeta,(Benth.) Barneby & J.W. Grimes,Fabaceae,tpl;tropicos, ,
Abarema langsdorffii,Abarema langsdorffii,,1,Accepted,Abarema langsdorffii,(Benth.) Barneby & J.W. Grimes,Fabaceae,tpl;tropicos, ,
Abarema macradenia,Abarema macradenia,,1,Accepted,Abarema macradenia,(Pittier)Barneby & J.W.Grimes,Fabaceae,ildis, ,
Abarema mataybifolia,Abarema mataybifolia,,1,Accepted,Abarema mataybifolia,(Sandwith) Barneby & J.W. Grimes,Fabaceae,tpl;tropicos, ,
Abarema microcalyx,Abarema microcalyx,,1,Accepted,Abarema microcalyx,,Fabaceae,ildis, ,
Abarema racemiflora,Abarema racemiflora,,1,Accepted,Abarema racemiflora,(Donn.Sm.)Barneby & J.W.Grimes,Fabaceae,ildis, ,
Abarema sppFPnet1,Abarema,,0.9,Accepted,Abarema,,Fabaceae,tpl, ,
Abarema sppGF1,Abarema,,0.9,Accepted,Abarema,,Fabaceae,tpl, ,
Abarema sppRAINFOR1,Abarema,,0.9,Accepted,Abarema,,Fabaceae,tpl, ,
Abarema sppSCA1,Abarema,,0.9,Accepted,Abarema,,Fabaceae,tpl, ,
Abarema sppTEAM1,Abarema,,0.9,Accepted,Abarema,,Fabaceae,tpl, ,
Abarema sppTEAM2,Abarema,,0.9,Accepted,Abarema,,Fabaceae,tpl, ,
Abarema turbinata,Abarema turbinata,,1,Accepted,Abarema turbinata,(Benth.)Barneby & J.W.Grimes,Fabaceae,ildis, ,
Abatia sppAchupall1,Abatia,,0.9,Accepted,Abatia,,Salicaceae,tpl, ,
Aberemoa argentea,Aberemoa argentea,,1,Synonym,Duguetia argentea,(R.E.Fr.) R.E.Fr.,Annonaceae,tpl, ,
Abies alba,Abies alba,,1,Accepted,Abies alba,Mill.,Pinaceae,tpl;tropicos;usda, ,
Abies amabilis,Abies amabilis,,1,Accepted,Abies amabilis,(Douglas ex Loudon) J.Forbes,Pinaceae,tpl, ,
Abies balsamea,Abies balsamea,,1,Accepted,Abies balsamea,(L.) Mill.,Pinaceae,tpl;tropicos;usda, ,
Abies cephalonica,Abies cephalonica,,1,Accepted,Abies cephalonica,Loudon,Pinaceae,tpl;tropicos, ,
Abies concolor,Abies concolor,,1,Accepted,Abies concolor,(Gordon) Lindl. ex Hildebr.,Pinaceae,tpl, ,
Abies durangensis,Abies durangensis,,1,Accepted,Abies durangensis,Mart¨ªnez,Pinaceae,tpl;tropicos, ,
Abies fabri,Abies fabri,,1,Accepted,Abies fabri,(Mast.) Craib,Pinaceae,tpl;tropicos, ,
Abies firma,Abies firma,,1,Accepted,Abies firma,Siebold & Zucc.,Pinaceae,tpl;tropicos;usda, ,
Abies fraseri,Abies fraseri,,1,Accepted,Abies fraseri,(Pursh) Poir.,Pinaceae,tpl;tropicos;usda, ,
Abies grandis,Abies grandis,,1,Accepted,Abies grandis,(Douglas ex D.Don) Lindl.,Pinaceae,tpl, ,
Abies holophylla,Abies holophylla,,1,Accepted,Abies holophylla,Maxim.,Pinaceae,tpl;tropicos, ,
Abies koreana,Abies koreana,,1,Accepted,Abies koreana,E.H.Wilson,Pinaceae,tpl, ,
