Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
"1"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"2"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"3"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"4"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"5"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"6"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"7"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"8"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"9"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"10"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"11"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"12"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"13"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"14"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"15"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"16"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"17"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"18"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"19"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"20"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"21"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"22"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"23"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"24"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"25"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"26"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
"27"",""Acer saccharum",Acer saccharum,,0.9,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;tropicos;usda, ,
