Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid,user_id
binomial,Binotia,,0.77,No opinion,,,,tpl, ,,
Aapaca sppNosymang1,Aapaca,,0.9,Invalid,,,,tropicos, ,,1
Abarema sppTEAM2,Abarema,,0.9,Accepted,Abarema,,Fabaceae,tpl, ,,2
Abarema acreana,Abarema acreana,,1,Accepted,Abarema acreana,(J.F.Macbr.)L.Rico,Fabaceae,ildis, ,,3
Abarema adenophora,Abarema adenophora,,1,Accepted,Abarema adenophora,(Ducke) Barneby & J.W. Grimes,Fabaceae,tpl;tropicos, ,,4
Abarema auriculata,Abarema auriculata,,1,Accepted,Abarema auriculata,(Benth.)Barneby & J.W.Grimes,Fabaceae,ildis, ,,5
Abarema barbouriana,Abarema barbouriana,,1,Accepted,Abarema barbouriana,(Standl.)Barneby & J.W.Grimes,Fabaceae,ildis, ,,6
Abarema cochleata,Abarema cochleata,,1,Accepted,Abarema cochleata,(Willd.)Barneby & J.W.Grimes,Fabaceae,ildis, ,,7
Abarema commutata,Abarema commutata,,1,Accepted,Abarema commutata,Barneby & J.W.Grimes,Fabaceae,ildis, ,,8
Abarema curvicarpa,Abarema curvicarpa,,1,Accepted,Abarema curvicarpa,(H.S.Irwin)Barneby & J.W.Grimes,Fabaceae,ildis, ,,9
Abarema filamentosa,Abarema filamentosa,,1,Accepted,Abarema filamentosa,(Benth.)Pittier,Fabaceae,ildis, ,,10
Abarema floribunda,Abarema floribunda,,1,Accepted,Abarema floribunda,(Benth.)Barneby & J.W.Grimes,Fabaceae,ildis, ,,11
Abarema idiopoda,Abarema idiopoda,,1,Accepted,Abarema idiopoda,(S.F.Blake)Barneby & J.W.Grimes,Fabaceae,ildis, ,,12
Abarema jupunba,Abarema jupunba,,1,Accepted,Abarema jupunba,(Willd.)Britton & Killip,Fabaceae,ildis, ,,13
Abarema laeta,Abarema laeta,,1,Accepted,Abarema laeta,(Benth.) Barneby & J.W. Grimes,Fabaceae,tpl;tropicos, ,,14
Abarema langsdorffii,Abarema langsdorffii,,1,Accepted,Abarema langsdorffii,(Benth.) Barneby & J.W. Grimes,Fabaceae,tpl;tropicos, ,,15
Abarema macradenia,Abarema macradenia,,1,Accepted,Abarema macradenia,(Pittier)Barneby & J.W.Grimes,Fabaceae,ildis, ,,16
Abarema mataybifolia,Abarema mataybifolia,,1,Accepted,Abarema mataybifolia,(Sandwith) Barneby & J.W. Grimes,Fabaceae,tpl;tropicos, ,,17
Abarema microcalyx,Abarema microcalyx,,1,Accepted,Abarema microcalyx,,Fabaceae,ildis, ,,18
Abarema racemiflora,Abarema racemiflora,,1,Accepted,Abarema racemiflora,(Donn.Sm.)Barneby & J.W.Grimes,Fabaceae,ildis, ,,19
Abarema sppFPnet1,Abarema,,0.9,Accepted,Abarema,,Fabaceae,tpl, ,,20
Abarema sppGF1,Abarema,,0.9,Accepted,Abarema,,Fabaceae,tpl, ,,21
Abarema sppRAINFOR1,Abarema,,0.9,Accepted,Abarema,,Fabaceae,tpl, ,,22
Abarema sppSCA1,Abarema,,0.9,Accepted,Abarema,,Fabaceae,tpl, ,,23
Abarema sppTEAM1,Abarema,,0.9,Accepted,Abarema,,Fabaceae,tpl, ,,24
Abarema sppTEAM2 1,Abarema,,0.9,Accepted,Abarema,,Fabaceae,tpl, ,,25
Abarema turbinata,Abarema turbinata,,1,Accepted,Abarema turbinata,(Benth.)Barneby & J.W.Grimes,Fabaceae,ildis, ,,26
Abatia sppAchupall1,Abatia,,0.9,Accepted,Abatia,,Salicaceae,tpl, ,,27
Abrahamia ditimena,Abrahamia ditimena,,1,Accepted,Abrahamia ditimena,(H. Perrier) Randrian. & Lowry,Anacardiaceae,tpl;tropicos, ,,28
Abrahamia lenticellata,Abrahamia lenticellata,,1,No opinion,,,,tpl;tropicos, ,,29
