Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
",binomial",No suitable matches found.,,0,,,,,, ,
"1"",""Xymalos monospora",Xymalos monospora,,0.9,Accepted,Xymalos monospora,(Harv.) Baill.,Monimiaceae,tpl, ,
"2"",""Leptonychia mildbraedii",Leptonychia mildbraedii,,0.9,Accepted,Leptonychia mildbraedii,Engl.,Malvaceae,tpl;tropicos, ,
"3"",""Alangium chinense",Alangium chinense,,0.9,Accepted,Alangium chinense,(Lour.) Harms,Cornaceae,tpl;tropicos, ,
"4"",""Newtonia buchananii",Newtonia buchananii,,0.9,Accepted,Newtonia buchananii,(Baker)G.C.C.Gilbert & Boutique,Fabaceae,ildis, ,
"5"",""Drypetes sppTEAM3",Drypetes,,0.9,Accepted,Drypetes,,Putranjivaceae,tpl, ,
"6"",""Cassipourea gummifera",Cassipourea gummifera,,0.9,Invalid,,,,tropicos, ,
"7"",""Myrianthus holstii",Myrianthus holstii,,0.9,Accepted,Myrianthus holstii,Engl.,Urticaceae,tpl;tropicos, ,
"8"",""Carapa grandiflora",Carapa grandiflora,,0.9,Accepted,Carapa grandiflora,Sprague,Meliaceae,tpl, ,
"9"",""Sapium ellipticum",Sapium ellipticum,,0.9,Synonym,Shirakiopsis elliptica,(Hochst.) Esser,Euphorbiaceae,tpl, ,
"10"",""Clausena anisata",Clausena anisata,,0.9,Accepted,Clausena anisata,(Willd.) Hook.f. ex Benth.,Rutaceae,tpl, ,
"11"",""Psychotria mahonii",Psychotria mahonii,,0.9,Accepted,Psychotria mahonii,C.H.Wright,Rubiaceae,tpl, ,
"12"",""Millettia dura",Millettia dura,,0.9,Accepted,Millettia dura,Dunn,Fabaceae,ildis;tropicos, ,
"13"",""unknown sppET1",No suitable matches found.,,0,,,,,, ,
"14"",""Ilex mitis",Ilex mitis,,0.9,Accepted,Ilex mitis,(L.) Radlk.,Aquifoliaceae,tpl;tropicos, ,
"15"",""Macaranga barteri",Macaranga barteri,,0.9,Accepted,Macaranga barteri,M¨¹ll.Arg.,Euphorbiaceae,tpl, ,
"16"",""unknown sppTEAM9",No suitable matches found.,,0,,,,,, ,
"17"",""unknown sppTEAM9",No suitable matches found.,,0,,,,,, ,
"18"",""Ilex mitis",Ilex mitis,,0.9,Accepted,Ilex mitis,(L.) Radlk.,Aquifoliaceae,tpl;tropicos, ,
"19"",""Psychotria mahonii",Psychotria mahonii,,0.9,Accepted,Psychotria mahonii,C.H.Wright,Rubiaceae,tpl, ,
"20"",""Polyscias fulva",Polyscias fulva,,0.9,Accepted,Polyscias fulva,(Hiern) Harms,Araliaceae,tpl;tropicos, ,
"21"",""unknown sppTEAM2",No suitable matches found.,,0,,,,,, ,
"22"",""Carapa grandiflora",Carapa grandiflora,,0.9,Accepted,Carapa grandiflora,Sprague,Meliaceae,tpl, ,
