Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid,user_id
binomial,Binotia,,0.77,No opinion,,,,tpl, ,,
Abarema jupunba,Abarema jupunba,,1,Accepted,Abarema jupunba,(Willd.)Britton & Killip,Fabaceae,ildis, ,,1
Abarema jupunba,Abarema jupunba,,1,Accepted,Abarema jupunba,(Willd.)Britton & Killip,Fabaceae,ildis, ,,2
Abarema jupunba,Abarema jupunba,,1,Accepted,Abarema jupunba,(Willd.)Britton & Killip,Fabaceae,ildis, ,,3
Abarema jupunba,Abarema jupunba,,1,Accepted,Abarema jupunba,(Willd.)Britton & Killip,Fabaceae,ildis, ,,4
Abarema jupunba,Abarema jupunba,,1,Accepted,Abarema jupunba,(Willd.)Britton & Killip,Fabaceae,ildis, ,,5
Abarema jupunba,Abarema jupunba,,1,Accepted,Abarema jupunba,(Willd.)Britton & Killip,Fabaceae,ildis, ,,6
Abarema jupunba,Abarema jupunba,,1,Accepted,Abarema jupunba,(Willd.)Britton & Killip,Fabaceae,ildis, ,,7
Abarema macradenia,Abarema macradenia,,1,Accepted,Abarema macradenia,(Pittier)Barneby & J.W.Grimes,Fabaceae,ildis, ,,8
Abies alba,Abies alba,,1,Accepted,Abies alba,Mill.,Pinaceae,tpl;tropicos;usda, ,,9
Abies amabilis,Abies amabilis,,1,Accepted,Abies amabilis,(Douglas ex Loudon) J.Forbes,Pinaceae,tpl, ,,10
Abies arizonica,Abies arizonica,,1,Synonym,Abies lasiocarpa var. arizonica,(Merriam) Lemmon,Pinaceae,tpl;usda, ,,11
Abies balsamea,Abies balsamea,,1,Accepted,Abies balsamea,(L.) Mill.,Pinaceae,tpl;tropicos;usda, ,,12
Abies concolor,Abies concolor,,1,Accepted,Abies concolor,(Gordon) Lindl. ex Hildebr.,Pinaceae,tpl, ,,13
Abies delavayi,Abies delavayi,,1,Accepted,Abies delavayi,Franch.,Pinaceae,tpl;tropicos, ,,14
Abies ernestii,Abies ernestii,,1,Synonym,Abies recurvata var. ernestii,(Rehder) Rushforth,Pinaceae,tpl, ,,15
Abies fabri,Abies fabri,,1,Accepted,Abies fabri,(Mast.) Craib,Pinaceae,tpl;tropicos, ,,16
Abies fargesii,Abies fargesii,,1,Accepted,Abies fargesii,Franch.,Pinaceae,tpl, ,,17
Abies faxoniana,Abies faxoniana,,1,Synonym,Abies fargesii var. faxoniana,(Rehder & E.H.Wilson) Tang S.Liu,Pinaceae,tpl, ,,18
Abies forrestii,Abies forrestii,,1,Accepted,Abies forrestii,Coltm.-Rog.,Pinaceae,tpl;tropicos, ,,19
Abies georgei,Abies georgei,,1,Synonym,Abies forrestii,Coltm.-Rog.,Pinaceae,tpl, [Ambiguous match] ,,20
Abies georgei,Abies georgei,,1,Synonym,Abies forrestii,Coltm.-Rog.,Pinaceae,tpl, [Ambiguous match] ,,21
Abies grandis,Abies grandis,,1,Accepted,Abies grandis,(Douglas ex D.Don) Lindl.,Pinaceae,tpl, ,,22
Abies guatemalensis,Abies guatemalensis,,1,Accepted,Abies guatemalensis,Rehder,Pinaceae,tpl;tropicos;usda, ,,23
Abies holophylla,Abies holophylla,,1,Accepted,Abies holophylla,Maxim.,Pinaceae,tpl;tropicos, ,,24
Abies lasiocarpa,Abies lasiocarpa,,1,Accepted,Abies lasiocarpa,(Hook.) Nutt.,Pinaceae,tpl;tropicos;usda, ,,25
