"","Var1","Freq"
"1","Above ground",22
"2","above ground biomass",64
"3","Above-ground biomass",688
"4","Above-ground weight",5
"5","aboveground",2
"6","Aboveground biomass",152
"7","aboveground D<2cm",0
"8","aboveground D>2cm",0
"9","Aboveground+Stilt root biomass",1
"10","all",13
"11","bark",34
"12","Bark",61
"13","Bark biomass",7
"14","Bark dry biomass",1
"15","Bark dry weight",30
"16","Bark fresh biomass",1
"17","Bark fresh weight",19
"18","Bark ovendry weight",7
"19","Bark weight",12
"20","Bark,Branches and Leaves",2
"21","Bark,Branches,Leaves and Roots",4
"22","Bark,Branches,Leaves,Roots,Stump and Trunk",117
"23","Bark,Branches,Leaves,Roots,Stump,Trunk andTwigs",7
"24","Bark,Branches,Leaves,Stump and Trunk",264
"25","Bark,Branches,Leaves,Stump,Trunk and Twigs",3
"26","Bark,Branches,Stump and Trunk",37
"27","Bark,Stump and Trunk",491
"28","Bark+branches",8
"29","Bark+branches+leaves",123
"30","Bark+branches+roots",1
"31","Below ground",17
"32","below ground biomass",16
"33","Below-ground",2
"34","belowground",2
"35","Biomass",15
"36","biomass aerienne",5
"37","Biomass of dead branches",0
"38","Biomass of roots",5
"39","Biomass of stem bark",0
"40","Biomass of tree",2
"41","bois",0
"42","bois de feu",0
"43","bois fort",1
"44","bole",1
"45","Bole dry weight",30
"46","Bole fresh weight",18
"47","Bole ovendry weight",119
"48","bole tree D>40",1
"49","bole volume",21
"50","Bole Volume",3
"51","Bole weight",12
"52","branch",87
"53","Branch",7
"54","Branch and twig biomass",27
"55","Branch biomass",60
"56","Branch biomass without twigs",0
"57","Branch dry biomass",5
"58","Branch dry mass",2
"59","Branch dry weight",2
"60","Branch fresh biomass",1
"61","branch mass in crown (excluded epicormics)",1
"62","Branch volume",3
"63","Branch weight",3
"64","Branch-stem biomass",0
"65","branches",30
"66","Branches",773
"67","Branches and Leaves",3
"68","Branches and Trunk underbark",26
"69","Branches biomass",6
"70","Branches dead",175
"71","Branches fresh weight",6
"72","Branches live",153
"73","Branches live < 2.5 cm",16
"74","Branches live > 7.6 cm",13
"75","Branches live 2.5-7.6 cm",10
"76","Branches live 2.5-7.6 cm and Branches live > 7.6 cm",20
"77","Branches ovendry weight",6
"78","Branches total (live + dead)",314
"79","Branches,Leaves and Roots",1
"80","Branches,Leaves and Twigs",2
"81","Branches,Leaves,Roots,Stump and Trunk",5
"82","Branches,Leaves,Stump and Trunk",24
"83","Branches,Leaves,Stump,Trunk and Twigs",2
"84","Branches,Stump and Trunk",286
"85","Branches+leaves",10
"86","caulinaire",4
"87","Clear bark volume",1
"88","Clear bole volume",6
"89","Clear bole volume (over bark)",6
"90","Clear bole volume (under bark)",6
"91","Coarse missing roots mass",1
"92","coarse root",24
"93","Coarse roots",1
"94","Coarse stump roots",1
"95","Coarse-root biomass",3
"96","commercial",11
"97","Commercial volume",2
"98","Community biomass",0
"99","Complete tree (above + belowground)",53
"100","Complete tree (aboveground - excluded fruits)",76
"101","Cones",5
"102","crown",0
"103","Crown (branches + foliage + twigs)",164
"104","Crown dry weight",30
"105","Crown fresh weight",19
"106","Crown ovendry weight",7
"107","Crown weight",12
"108","cubage arbre",1
"109","cubage pied",1
"110","Culm",13
"111","current branch",2
"112","current leaf",2
"113","Current-year needle biomass",1
"114","dead branches",0
"115","Dead crown (branches + foliage + twigs)",156
"116","Dead wood",0
"117","Dry mass",0
"118","Dry standing biomass",1
"119","Dry stem wood weight",1
"120","dry wood mass",0
"121","fine root",1
"122","Fine roots",29
"123","firewood",0
"124","Flower and fruit biomass",5
"125","folaire",4
"126","foliage",27
"127","Foliage",459
"128","Foliage + twigs",29
"129","Foliage dry weight",30
"130","Foliage fresh weight",12
"131","foliage mass in crown (exclused epicormics)",1
"132","foliage mass of epicormics branches",1
"133","Foliage new",35
"134","Foliage old",22
"135","Foliage total",466
"136","Foliage weight",12
"137","For canopy trees, assumed to be >4 m in height for this study.",2
"138","For canopy trees, assumed to be >4 m in height for this study. Up to 2cm of DBH",1
"139","Fresh bark weight",0
"140","fresh biomass",7
"141","Fresh bole weight",0
"142","fresh branches",2
"143","Fresh crown weight",0
"144","Fresh foliage weight",0
"145","Fresh mass",0
"146","Fresh small branches weight",0
"147","Fresh topwood and large branches",0
"148","Fresh whole tree weight",0
"149","Fresh wood weight",0
"150","fruit",2
"151","Fruit biomass",4
"152","Fruits",9
"153","fuel",0
"154","Fuel wood",1
"155","Fuelwood volume",5
"156","Gross volume over bark",3
"157","Gross volume under bark",3
"158","harvestable including bark and branches",1
"159","harvestable with bark, excluding the branches and the bark",1
"160","heartwood volume",8
"161","Heavy wood density biomass",1
"162","large root",1
"163","Large roots",16
"164","Lartge branches fresh weight",1
"165","Lartge branches ovendry weight",1
"166","Lateral roots",23
"167","leaf",21
"168","Leaf",7
"169","Leaf biomass",67
"170","Leaf dry biomass",7
"171","Leaf dry weight",0
"172","Leaf dry weight of defoliated trees",0
"173","Leaf dry weight of unaffected trees",0
"174","Leaf fresh biomass",1
"175","Leaf weight",6
"176","Leave weight",0
"177","leaves",30
"178","Leaves",260
"179","Leaves and Twigs",17
"180","Leaves biomass",2
"181","Leaves biomss",5
"182","Leaves dry mass",2
"183","Leaves fresh weight",7
"184","Leaves ovendry weight",7
"185","Leaves weight",0
"186","lignotuber scrap",0
