"","family","genus","species","meanWD","sdWD","levelWD","nInd"
"1",NA,"Aapaca",NA,0.611246215561075,0.124033048371268,"dataset",20776
"25","Fabaceae","Abarema",NA,0.511571428571429,0.0941339098036177,"genus",2
"2","Fabaceae","Abarema","acreana",0.511571428571429,0.0941339098036177,"genus",2
"3","Fabaceae","Abarema","adenophora",0.511571428571429,0.0941339098036177,"genus",2
"4","Fabaceae","Abarema","auriculata",0.511571428571429,0.0941339098036177,"genus",2
"5","Fabaceae","Abarema","barbouriana",0.511571428571429,0.0941339098036177,"genus",2
"6","Fabaceae","Abarema","cochleata",0.511571428571429,0.0941339098036177,"genus",2
"7","Fabaceae","Abarema","commutata",0.511571428571429,0.0941339098036177,"genus",2
"8","Fabaceae","Abarema","curvicarpa",0.511571428571429,0.0941339098036177,"genus",2
"9","Fabaceae","Abarema","filamentosa",0.511571428571429,0.0941339098036177,"genus",2
"10","Fabaceae","Abarema","floribunda",0.511571428571429,0.0941339098036177,"genus",2
"11","Fabaceae","Abarema","idiopoda",0.511571428571429,0.0941339098036177,"genus",2
"12","Fabaceae","Abarema","jupunba",0.585142857142857,0.0708232617216773,"species",7
"13","Fabaceae","Abarema","laeta",0.511571428571429,0.0941339098036177,"genus",2
"14","Fabaceae","Abarema","langsdorffii",0.511571428571429,0.0941339098036177,"genus",2
"15","Fabaceae","Abarema","macradenia",0.438,0.0708232617216773,"species",1
"16","Fabaceae","Abarema","mataybifolia",0.511571428571429,0.0941339098036177,"genus",2
"17","Fabaceae","Abarema","microcalyx",0.511571428571429,0.0941339098036177,"genus",2
"18","Fabaceae","Abarema","racemiflora",0.511571428571429,0.0941339098036177,"genus",2
"23","Fabaceae","Abarema",NA,0.511571428571429,0.0941339098036177,"genus",2
"26","Fabaceae","Abarema",NA,0.511571428571429,0.0941339098036177,"genus",2
"22","Fabaceae","Abarema",NA,0.511571428571429,0.0941339098036177,"genus",2
"20","Fabaceae","Abarema",NA,0.511571428571429,0.0941339098036177,"genus",2
"21","Fabaceae","Abarema",NA,0.511571428571429,0.0941339098036177,"genus",2
"24","Fabaceae","Abarema",NA,0.511571428571429,0.0941339098036177,"genus",2
"19","Fabaceae","Abarema","turbinata",0.511571428571429,0.0941339098036177,"genus",2
"27",NA,"Abatia",NA,0.611246215561075,0.124033048371268,"dataset",20776
"28",NA,"Aberemoa","argentea",0.611246215561075,0.124033048371268,"dataset",20776
