"","family","genus","species","meanWD","sdWD","levelWD","nInd"
"1",NA,"Aapaca",NA,0.614603918662284,0.137644142710672,"dataset",22967
"20","Fabaceae","Abarema",NA,0.685116666666667,0.0941339098036177,"genus",7
"2","Fabaceae","Abarema","acreana",0.685116666666667,0.0941339098036177,"genus",7
"3","Fabaceae","Abarema","adenophora",0.685116666666667,0.0941339098036177,"genus",7
"4","Fabaceae","Abarema","auriculata",0.685116666666667,0.0941339098036177,"genus",7
"5","Fabaceae","Abarema","barbouriana",0.685116666666667,0.0941339098036177,"genus",7
"6","Fabaceae","Abarema","cochleata",0.685116666666667,0.0941339098036177,"genus",7
"7","Fabaceae","Abarema","commutata",0.685116666666667,0.0941339098036177,"genus",7
"8","Fabaceae","Abarema","curvicarpa",0.685116666666667,0.0941339098036177,"genus",7
"9","Fabaceae","Abarema","filamentosa",0.685116666666667,0.0941339098036177,"genus",7
"10","Fabaceae","Abarema","floribunda",0.685116666666667,0.0941339098036177,"genus",7
"11","Fabaceae","Abarema","idiopoda",0.685116666666667,0.0941339098036177,"genus",7
"12","Fabaceae","Abarema","jupunba",0.585142857142857,0.0708232617216773,"species",7
"13","Fabaceae","Abarema","laeta",0.685116666666667,0.0941339098036177,"genus",7
"14","Fabaceae","Abarema","langsdorffii",0.685116666666667,0.0941339098036177,"genus",7
"15","Fabaceae","Abarema","macradenia",0.438,0.0708232617216773,"species",1
"16","Fabaceae","Abarema","mataybifolia",0.685116666666667,0.0941339098036177,"genus",7
"17","Fabaceae","Abarema","microcalyx",0.685116666666667,0.0941339098036177,"genus",7
"18","Fabaceae","Abarema","racemiflora",0.685116666666667,0.0941339098036177,"genus",7
"25","Fabaceae","Abarema",NA,0.685116666666667,0.0941339098036177,"genus",7
"24","Fabaceae","Abarema",NA,0.685116666666667,0.0941339098036177,"genus",7
"23","Fabaceae","Abarema",NA,0.685116666666667,0.0941339098036177,"genus",7
"21","Fabaceae","Abarema",NA,0.685116666666667,0.0941339098036177,"genus",7
"22","Fabaceae","Abarema",NA,0.685116666666667,0.0941339098036177,"genus",7
"26","Fabaceae","Abarema",NA,0.685116666666667,0.0941339098036177,"genus",7
"19","Fabaceae","Abarema","turbinata",0.685116666666667,0.0941339098036177,"genus",7
"27",NA,"Abatia",NA,0.614603918662284,0.137644142710672,"dataset",22967
"28",NA,"Aberemoa","argentea",0.614603918662284,0.137644142710672,"dataset",22967
"29","Pinaceae","Abies","alba",0.353,0.0708232617216773,"species",1
"30","Pinaceae","Abies","amabilis",0.4,0.0708232617216773,"species",1
"31","Pinaceae","Abies","balsamea",0.33,0.0708232617216773,"species",1
"32","Pinaceae","Abies","cephalonica",0.45,0.0941339098036177,"genus",1
"33","Pinaceae","Abies","concolor",0.37,0.0708232617216773,"species",1
"34","Pinaceae","Abies","durangensis",0.45,0.0941339098036177,"genus",1
"35","Pinaceae","Abies","fabri",0.373,0.0708232617216773,"species",1
"36","Pinaceae","Abies","firma",0.45,0.0941339098036177,"genus",1
"37","Pinaceae","Abies","fraseri",0.45,0.0941339098036177,"genus",1
"38","Pinaceae","Abies","grandis",0.35,0.0708232617216773,"species",1
"39","Pinaceae","Abies","holophylla",0.336,0.0708232617216773,"species",1
"40","Pinaceae","Abies","koreana",0.45,0.0941339098036177,"genus",1
"41","Pinaceae","Abies","lasiocarpa",0.31,0.0708232617216773,"species",1
"42","Pinaceae","Abies","magnifica",0.36,0.0708232617216773,"species",1
