"","Var1","Freq"
"1","Boreal forest/taigas",22
"2","Deserts and xeric shrublands",40
"3","Flooded grasslands",6
"4","Mangroves",6
"5","Mediterranean scrub",3
"6","Montane grasslands",57
"7","Temperate broadleaf and mixed forests",1929
"8","Temperate coniferous forests",974
"9","Temperate grasslands, savannas, and shrublands",43
"10","Tropical and subtropical coniferous forests",3
"11","Tropical and subtropical dry broadleaf forests",33
"12","Tropical and subtropical grasslands, savannas, and shrublands",19
"13","Tropical and subtropical moist broadleaf forests",268
"14","Tundra",3
