"","Var1","Freq"
"1","Boreal forest/taigas",8
"2","Deserts and xeric shrublands",5
"3","Mangroves",6
"4","Mediterranean scrub",3
"5","Montane grasslands",2
"6","Temperate broadleaf and mixed forests",186
"7","Temperate coniferous forests",8
"8","Temperate grasslands, savannas, and shrublands",26
"9","Tropical and subtropical coniferous forests",3
"10","Tropical and subtropical dry broadleaf forests",29
"11","Tropical and subtropical grasslands, savannas, and shrublands",17
"12","Tropical and subtropical moist broadleaf forests",164
