"","ID_list","ID","LAT","LON","Ecoregion_WWF","Equations","DBH5","DBH6","DBH7","DBH8","DBH9","DBH10","DBH11","DBH12","DBH13","DBH14","DBH15","DBH16","DBH17","DBH18","DBH19","DBH20","DBH21","DBH22","DBH23","DBH24","DBH25","DBH30","DBH35","DBH40","DBH45","DBH50","DBH55","DBH60","DBH65","DBH70","DBH75","DBH80","DBH85","DBH90","DBH95","DBH100","DBH110","DBH120","DBH130","DBH140","DBH150","DBH160","DBH170","DBH180","DBH190","DBH200","DBH210","DBH220","DBH230","DBH240","DBH250","DBH260","DBH270","DBH280","DBH290","DBH300"
"1","ID1",36683,15.47113889,107.8157222,"Tropical and subtropical moist broadleaf forests","Biomass=0.1245*(DBH)^(2.4163)",NA,9.44966075971448,13.7144926324975,18.9367605204787,25.1712931166175,32.4690327658812,40.8777041901107,50.442313418515,61.2055314960899,73.2079969149343,86.4885588747577,101.084476320842,117.031583190089,134.364427340151,153.116388642748,173.319780341204,195.005936793218,218.20529001183,242.947436895957,269.261198651598,297.174673608411,461.676149526455,670.040365710619,925.181432847898,1229.77808200523,1586.31917138296,1997.13635778624,2464.42847255929,2990.28026818697,3576.67719399195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ID2",36683,15.47036111,107.8165556,"Tropical and subtropical moist broadleaf forests","Biomass=0.1245*(DBH)^(2.4163)",NA,9.44966075971448,13.7144926324975,18.9367605204787,25.1712931166175,32.4690327658812,40.8777041901107,50.442313418515,61.2055314960899,73.2079969149343,86.4885588747577,101.084476320842,117.031583190089,134.364427340151,153.116388642748,173.319780341204,195.005936793218,218.20529001183,242.947436895957,269.261198651598,297.174673608411,461.676149526455,670.040365710619,925.181432847898,1229.77808200523,1586.31917138296,1997.13635778624,2464.42847255929,2990.28026818697,3576.67719399195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ID3",36716,22.001,-159.4302,"Tropical and subtropical moist broadleaf forests","log Biomass=-2.863+0*(DBH)+2.729*(LOG((DBH)^(1)))",4.61428101629631,7.58908925552481,11.5581266633871,16.6397758915133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ID4",36716,19.4412,-155.0916,"Tropical and subtropical moist broadleaf forests","log Biomass=-2.863+0*(DBH)+2.729*(LOG((DBH)^(1)))",4.61428101629631,7.58908925552481,11.5581266633871,16.6397758915133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ID6",36726,6.088611,-73.132361,"Tropical and subtropical moist broadleaf forests","Biomass=1/(0.0396932-0.00147767*(DBH))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.445046426225,139.189305807256,175.229857765925,236.455811138014,363.444729142815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ID7",36727,6.088611,-73.132361,"Tropical and subtropical moist broadleaf forests","Biomass=1/(-0.025+0.695/(DBH))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.529411764706,151.724137931035,191.666666666667,252.631578947369,357.142857142858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ID8",36728,6.088611,-73.132361,"Tropical and subtropical moist broadleaf forests","Biomass=1/(0.0300214-0.000971252*(DBH))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.894938113941,115.555424079162,130.164199534429,149.001274258897,174.212992805003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ID9",36732,4.83776,-73.90108,"Montane grasslands","Biomass=(-2.45123+0.81375*(DBH))^(2)",NA,NA,NA,NA,NA,NA,42.2502600004,53.4912316129,66.0565813504,79.9463092129,95.1604152004,111.6988993129,129.5617615504,148.7490019129,169.2606204004,191.0966170129,214.2569917504,238.7417446129,264.5508756004,291.6843847129,320.1422719504,482.2973800129,677.5619412004,905.9359555129,1167.4194229504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ID10",36796,45.9405,-89.6118,"Temperate broadleaf and mixed forests","log10 Biomass=-0.685+2.249*(LOG10((DBH)^(1)))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.454675829589,120.859174667777,137.438328268569,155.20898132617,174.187289107809,194.388779888758,215.82840893539,238.520605524058,262.479314166579,287.718030974348,433.556500191951,613.209722112339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ID12",36813,41.312521,-101.879768,"Temperate grasslands, savannas, and shrublands","Biomass=0+0*(DBH^2)+2.56795*((DBH^2)^(1.18685))",5.81354708312451,8.96176843405943,12.9212732994908,17.7402933489726,23.462891887753,30.1297893129693,37.7789524599832,46.446032160577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ID13",36817,35.212,-83.4217,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+2.5465*((DBH^2)^(1.22586))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.536463145684,717.282975751943,995.108737378906,1328.25727063973,1719.75569617811,2172.45120512006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ID14",36817,35.8022,-82.3452,"Temperate broadleaf and mixed forests","Biomass=0+0*(DBH^2)+2.5465*((DBH^2)^(1.22586))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.536463145684,717.282975751943,995.108737378906,1328.25727063973,1719.75569617811,2172.45120512006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
