"","ID","LAT","LON","Ecoregion_WWF","Equations","DBH5","DBH6","DBH7","DBH8","DBH9","DBH10","DBH11","DBH12","DBH13","DBH14","DBH15","DBH16","DBH17","DBH18","DBH19","DBH20","DBH21","DBH22","DBH23","DBH24","DBH25","DBH30","DBH35","DBH40","DBH45","DBH50","DBH55","DBH60","DBH65","DBH70","DBH75","DBH80","DBH85","DBH90","DBH95","DBH100","DBH110","DBH120","DBH130","DBH140","DBH150","DBH160","DBH170","DBH180","DBH190","DBH200","DBH210","DBH220","DBH230","DBH240","DBH250","DBH260","DBH270","DBH280","DBH290","DBH300"
"sud_biomass",36683,15.47113889,107.8157222,"Tropical and subtropical moist broadleaf forests","Biomass=0.1245*(DBH)^(2.4163)",NA,9.44966075971448,13.7144926324975,18.9367605204787,25.1712931166175,32.4690327658812,40.8777041901107,50.442313418515,61.2055314960899,73.2079969149343,86.4885588747577,101.084476320842,117.031583190089,134.364427340151,153.116388642748,173.319780341204,195.005936793218,218.20529001183,242.947436895957,269.261198651598,297.174673608411,461.676149526455,670.040365710619,925.181432847898,1229.77808200523,1586.31917138296,1997.13635778624,2464.42847255929,2990.28026818697,3576.67719399195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass2",36716,22.001,-159.4302,"Tropical and subtropical moist broadleaf forests","log Biomass=-2.863+0*(DBH)+2.729*(LOG((DBH)^(1)))",4.61428101629631,7.58908925552481,11.5581266633871,16.6397758915133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass4",36796,45.9405,-89.6118,"Temperate broadleaf and mixed forests","log10 Biomass=-0.685+2.249*(LOG10((DBH)^(1)))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.454675829589,120.859174667777,137.438328268569,155.20898132617,174.187289107809,194.388779888758,215.82840893539,238.520605524058,262.479314166579,287.718030974348,433.556500191951,613.209722112339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass5",36813,41.312521,-101.879768,"Temperate grasslands, savannas, and shrublands","Biomass=0+0*(DBH^2)+2.56795*((DBH^2)^(1.18685))",5.81354708312451,8.96176843405943,12.9212732994908,17.7402933489726,23.462891887753,30.1297893129693,37.7789524599832,46.446032160577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass6",36882,1.05,116.3166667,"Tropical and subtropical moist broadleaf forests","(-2.89)+(2.62*(log((DBH))))",3.76868950859574,6.07638416508103,9.10009261119051,12.9117382463744,17.579411086261,23.1680214869652,29.7397821166279,37.3545760611381,46.0702459039528,55.9428259262445,67.026732133757,79.3749202325602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass7",36890,5.4091,-2.6461,"Tropical and subtropical moist broadleaf forests","Biomass=0.10649*(DBH)^(2.5759)",NA,NA,16.0028328228594,22.5724305007056,30.5732851645933,40.1059517538616,51.2663318883798,64.1463277211249,78.8343531016341,95.4157424844649,113.973084320291,134.586497262362,157.333862144475,182.291019125182,209.531936962726,239.128859683799,271.152434691144,305.671825465632,342.754811357633,382.46787646372,424.876289203089,679.556337558616,1010.81971192601,1425.78866809135,1931.1630412436,2533.29438900639,3238.24034185318,4051.80590373708,4979.57573975512,6026.94000487098,7199.11540257977,8501.16263150241,9938.00103828547,11514.4210702247,13235.0949675245,15104.5860276371,19307.7756907955,24158.6019792547,29690.3630579494,35935.1973391007,42924.2090429937,50687.5722220446,59254.6181276648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass8",36895,-5.3,32.9667,"Tropical and subtropical grasslands, savannas, and shrublands","Biomass=0.1054*(DBH)^(2.4809)",5.71367185597007,8.98164835859661,13.1657116265587,18.336504931734,24.559575306248,31.8963222869457,40.4046848311256,50.1396576379298,61.1536908757842,73.4970071371741,87.2178577831785,102.362733748464,118.976541377155,137.102750900909,156.78352316503,178.059818813305,200.971493149317,225.557379171058,251.855360742755,279.902437467684,309.734782520915,486.889861923465,713.705464748446,994.011121112949,1331.36009698185,1729.08082504623,2190.31414202033,2718.04127811968,3315.10552604992,3984.22942293836,4728.02864662,5549.02344325196,6449.64815927238,7432.25929030928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass9",36958,45.4972,-89.2585,"Temperate broadleaf and mixed forests","log Biomass=-2.474+0*(DBH)+2.555*(LOG((DBH)^(1)))",5.1454553371258,8.19845272077971,12.155727171145,17.0981990456096,23.101759768808,30.2381663409588,38.5756952724456,48.179638315139,59.1126891806511,71.4352522981406,85.205694104637,100.480550893435,117.314703116226,135.761523303454,155.873002906451,177.699862063954,201.291645365357,226.696806004718,253.962780216091,283.136053501184,314.26221987017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass10",36998,57.575924,-103.345058,"Boreal forest/taigas","Biomass=-19.78931+(4.01599*(DBH))-0.05686*((DBH)^(2))+0.00744*((DBH)^(3))",NA,3.86671,8.0884,12.50885,17.1727,22.12459,27.40916,33.07105,39.1549,45.70535,52.76704,60.38461,68.6027,77.46595,87.019,97.30649,108.37306,120.26335,133.022,146.69365,161.32294,250.39639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sud_biomass11",37005,22.001,-159.4302,"Tropical and subtropical moist broadleaf forests","log Biomass=-2.683+0*(DBH)+2.438*(LOG((DBH)^(1)))",3.45841236775524,5.3941206179875,7.85483246790581,10.8773046745161,14.495431336627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
